name,parent_genre,group,weight,prompt
Jazz Fusion,Jazz,Fusion,10,"Jazz fusion with electric keys or guitar, active bass, crisp complex drums, changing meters or harmony, and extended instrumental development."
Jazz Funk,Jazz,Fusion,10,"Jazz-funk with electric piano or clavinet, elastic bass, tight drums, horn or synth improvisation, and deep syncopated pocket."
Big Band,Jazz,Jazz,8,"Big-band jazz with arranged brass and reeds, walking bass, piano, drum-set swing, sectional call-and-response, and dynamic ensemble punches."
Vocal Jazz,Jazz,Jazz,9,"Vocal jazz with intimate lead phrasing, acoustic piano, upright bass, brushes or light drums, tasteful harmonic reharmonization, and room for improvised interaction."
Chicago Blues,Blues,Blues,12,"Chicago blues with electric guitar, Hammond or piano, warm bass, shuffle or pocketed drums, expressive vocal phrasing, and instrumental call-and-response."
Delta Blues,Blues,Blues,10,"Delta blues with raw acoustic or resonator guitar, sparse foot-stomp pulse, direct voice, repeated blues forms, and intimate unpolished performance."
Electric Blues,Blues,Blues,11,"Electric blues with expressive lead guitar, bass, live drums, organ or piano color, vocal-and-guitar responses, and natural club-room dynamics."
Soul Blues,Blues,Blues,9,"Soul blues with organ, expressive guitar, warm bass, pocketed live drums, gospel-rooted backing vocals, and emotionally forward lead singing."
P-Funk,Funk,Funk,11,"P-Funk with elastic bass, clipped guitar or clavinet, tight drums, bright synth and horn color, playful group vocals, and extended groove-centered sections."
Minneapolis Funk,Funk,Funk,10,"Minneapolis funk with precise drum-machine or tight live rhythm, clipped guitar, elastic synth bass, bright keys, and bold rhythmic vocal character."
Disco,Funk,Disco,12,"Disco with four-on-the-floor drums, melodic bass, bright rhythm guitar, strings or horns, handclaps, and a polished dance-floor vocal hook."
Nu-Disco,Funk,Disco,10,"Nu-disco with clean four-on-the-floor drums, modern sub-controlled bass, bright funk guitar, glossy synths, and streamlined retro-pop hooks."
Electro Funk,Funk,Funk,9,"Electro-funk with drum-machine precision, synth bass, clipped guitar, bright lead synths, vocoder or rhythmic vocals, and tightly quantized groove."
Funk Rock,Funk,Funk,9,"Funk rock with clipped electric guitar, active bass, punchy live drums, rock-weight choruses, and rhythmic vocal phrasing."
Gospel Choir,Gospel,Gospel,12,"Gospel with piano and organ, live bass and drums, handclaps, a powerful lead voice, responsive choir, and escalating call-and-response dynamics."
Contemporary Gospel,Gospel,Gospel,10,"Contemporary gospel with polished drums and bass, piano or keys, expressive lead singing, stacked choir harmonies, and a large uplifting final section."
Southern Gospel,Gospel,Gospel,8,"Southern gospel with piano, acoustic or electric roots instrumentation, close harmony vocals, live rhythm section, and direct testimony-style songwriting."
Film Score,Orchestral / Cinematic,Score,12,"Narrative film-score writing with motif development, orchestral or hybrid instrumentation, scene-shaped dynamics, thematic recurrence, and deliberate transitions."
Epic Trailer,Orchestral / Cinematic,Trailer,10,"Trailer music with hybrid orchestra, low pulses, impacts, risers, choir or brass escalation, clear act changes, and a large final climax."
Horror Score,Orchestral / Cinematic,Score,10,"Horror score with dissonant strings, low drones, prepared or sparse piano, unsettling sound design, dynamic silence, and escalating threat."
Hybrid Orchestral,Orchestral / Cinematic,Score,10,"Hybrid orchestral music combining strings and brass with synth pulses, cinematic percussion, sub impacts, and controlled modern sound design."
Minimal Film Score,Orchestral / Cinematic,Score,9,"Minimal film score with repeating piano or synth motif, restrained strings, subtle electronics, slow crescendos, and detailed emotional pacing."
Action Score,Orchestral / Cinematic,Score,9,"Action score with driving ostinatos, low brass and strings, cinematic percussion, rhythmic pulses, sharp transition hits, and sustained forward motion."
Emotional Drama Score,Orchestral / Cinematic,Score,9,"Emotional drama score with piano, intimate strings, restrained orchestration, slow harmonic movement, and carefully shaped rises rather than constant climax."
Game Soundtrack,Orchestral / Cinematic,Score,8,"Game soundtrack with memorable thematic motifs, loop-aware development, hybrid orchestral or electronic color, and clear energy changes for scene progression."
Orchestral Classical,Classical,Classical,11,"Classical orchestral writing with acoustic ensemble balance, developed thematic material, natural dynamics, and period-neutral concert-hall phrasing."
Chamber Classical,Classical,Classical,9,"Chamber classical music with small acoustic ensemble interplay, exposed articulation, dynamic nuance, and detailed motif development."
Piano Solo,Classical,Classical,10,"Solo piano with expressive touch, natural rubato, developed harmonic movement, recurring motifs, and concert-room dynamics."
Opera,Classical,Vocal Classical,9,"Operatic writing with orchestral support, classically projected voices, dramatic recitative or aria contrast, and large dynamic theatrical development."
Choral Classical,Classical,Vocal Classical,9,"Classical choral writing with blended ensemble voices, clear harmonic voicing, acoustic orchestral or organ support, and long natural dynamic arcs."
Musical Theatre,Classical,Theatre,9,"Musical-theatre songwriting with character-led vocals, clear scene progression, piano or orchestral support, dialogue-to-song energy shifts, and a decisive dramatic payoff."
Dark Ambient,Ambient,Ambient,11,"Dark ambient with low drones, slowly evolving texture, sparse harmonic movement, deep spatial detail, and tension shaped through timbre rather than rhythm."
New Age Ambient,Ambient,Ambient,9,"New-age ambient with warm pads, gentle piano or acoustic color, slow harmonic movement, soft nature-like texture, and restorative open space."
Meditation,Ambient,Meditation,10,"Meditative music with slow breathing room, gentle sustained timbres, minimal harmonic tension, subtle bells or bowls, and no abrupt dynamic changes."
Drone Ambient,Ambient,Ambient,8,"Drone ambient with sustained low or midrange tone, slow spectral evolution, very sparse events, and immersive long-form spatial movement."
Space Ambient,Ambient,Ambient,8,"Space ambient with wide pads, slowly shifting harmonics, distant synthetic textures, deep reverb, and a floating non-percussive sense of scale."
Glitch Experimental,Experimental,Experimental,8,"Experimental glitch music with micro-edits, granular fragments, irregular percussion, unusual synthesis, and deliberate structural surprise without losing coherence."
Industrial Experimental,Experimental,Experimental,8,"Experimental industrial music with mechanical percussion, distorted electronics, abrasive texture, found-sound accents, and controlled repetitive tension."
Noise Experimental,Experimental,Experimental,6,"Noise-oriented experimental music with dense texture, distortion, feedback or granular layers, extreme dynamics, and intentional timbral confrontation."
Genre Fusion,Experimental,Experimental,8,"Purposeful genre fusion that chooses a small number of compatible contrasting vocabularies and integrates them through shared rhythm, harmony, motif, or instrumentation rather than random switching."
Avant Pop,Experimental,Experimental,8,"Avant-pop with accessible vocal or melodic center surrounded by unusual production choices, asymmetrical sections, textural detail, and controlled experimentation."
World Fusion,World Fusion,Global,9,"World-fusion arrangement combining clearly identified regional instruments or rhythmic languages with a coherent modern rhythm section and respectful ensemble balance."
Middle Eastern Fusion,World Fusion,Global,8,"Middle-Eastern fusion with modal melodic phrasing, oud or plucked-string color, hand percussion, deep bass, and modern production integrated without flattening the acoustic character."
