name,description,genre,subgenre_era,mood,vocal_delivery,vocal_gender_type,instruments,production_style,bpm_tempo,song_structure,hook_style,themes,explicitness,aggression,darkness,rhyme_density,wordplay,storytelling,adlibs,song_length
Brooklyn Drill Anthem,Big New York drill anthem.,Hip-Hop / Rap,Brooklyn Drill,Confident and Luxurious,Raspy Drill Cadence,Deep Male Lead,"808s, Dark Piano and Brass",Hard Modern Trap Master,142 BPM Half-Time,Drill Direct,Chanted Crowd Hook,Self-Belief,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Golden Era Boom Bap,Dusty sample-led lyric showcase.,Hip-Hop / Rap,90s Boom Bap,Nostalgic,Boom Bap Pocket,Deep Male Lead,Boom Bap Drums and Jazz Samples,Raw Underground Mixtape,96 BPM Boom Bap,Boom Bap Three Verse,Sample Chop Hook,Self-Belief,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Rage Pit,Maximal distorted rage rap.,Hip-Hop / Rap,Rage Rap,Chaotic,Rage Shouts,Deep Male Lead,Rage Synths and Distorted 808s,Maximal Hyperpop,145 BPM Rage,Rap Anthem,One-Word Chant,Self-Belief,Mostly Clean,Relentless,Dark,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
West Coast G-Funk Cruise,Sunny lowrider G-funk.,Hip-Hop / Rap,G-Funk,Celebratory,Conversational Rap,Deep Male Lead,G-Funk Leads and Live Bass,West Coast Sunset Polish,92 BPM Head-Nod,Rap Anthem,Chanted Crowd Hook,Summer Freedom,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Contemporary R&B Night,Polished intimate late-night R&B.,R&B / Soul,Contemporary R&B,Seductive,Smooth R&B Croon,Mixed-Gender Duet,"Rhodes, Bass and Neo-Soul Guitar",Neo-Soul Boutique Studio,78 BPM Laid-Back,R&B Slow Jam,Soft Intimate Refrain,Late-Night Desire,Mostly Clean,Gentle,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Neo-Soul Velvet,Warm human neo-soul performance.,R&B / Soul,Neo-Soul,Warm and Intimate,Neo-Soul Runs,Deep Male Lead,"Rhodes, Bass and Neo-Soul Guitar",Warm Analog Tape,84 BPM Soul Pocket,Rap Anthem,Chanted Crowd Hook,First Love,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Bright Radio Pop,Immediate modern radio pop.,Pop,Synth Pop,Euphoric,Power Pop Belt,Powerful Female Lead,"808s, Dark Piano and Brass",Polished Radio Pop,118 BPM Driving,Pop Immediate Chorus,Big Sung Chorus,Self-Belief,Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Alternative Rock Catharsis,Quiet-loud emotional alt rock.,Rock,Alternative Rock,Bittersweet,Raspy Rock Belt,Deep Male Lead,Grand Piano and String Quartet,Arena Rock Wide,118 BPM Driving,Rock Quiet Loud,Big Sung Chorus,Breakup and Recovery,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Shoegaze Bloom,Luminous wall-of-guitar shoegaze.,Shoegaze,Shoegaze,Dreamlike,Breathy Indie Singing,Deep Male Lead,Shoegaze Guitar Wall and Dreamy Bass,Shoegaze Haze,92 BPM Head-Nod,Rap Anthem,Soft Intimate Refrain,Dreams and Sleep,Mostly Clean,Low Simmer,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Classic Heavy Metal,Twin-guitar heroic heavy metal.,Metal,Heavy Metal,Heroic,Raspy Rock Belt,Deep Male Lead,Metalcore Guitars and Double Kick,Arena Rock Wide,150 BPM Punk,Rock Quiet Loud,Gang Vocal Shout,Ancient Myth,Mostly Clean,Hard-Hitting,Dark,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Metalcore Breakdown,Precision metalcore with clean chorus.,Metal,Metalcore,Angry,Metalcore Scream and Clean,Deep Male Lead,Metalcore Guitars and Double Kick,Metalcore Precision,160 BPM Double-Time,Metalcore Breakdown,Metalcore Clean Chorus,Self-Belief,Mostly Clean,Breakdown Peak,Bleak,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Pop-Punk Summer,Fast bright sing-along pop punk.,Punk,Pop Punk,Rebellious,Pop-Punk Snarl,Deep Male Lead,Pop-Punk Guitars and Live Drums,Punk Basement Live,150 BPM Punk,Punk Two Minute,Pop-Punk Crowd Hook,Summer Freedom,Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Berlin Warehouse Techno,Dark relentless club techno.,Techno,Berlin Techno,Cold and Mechanical,Instrumental - No Vocals,Instrumental / No Lead Vocal,"Techno Kick, Rumble and Sequencers",Dark Club Techno,130 BPM Techno,Techno Progressive,Synth Riff Hook,Dancefloor Escape,Mostly Clean,Strong,Balanced,None / Free Verse,Minimal Lyrics,No Narrative,Completely Dry,About 3 Minutes
Melodic Techno Horizon,Emotional cinematic melodic techno.,Techno,Melodic Techno,Dark to Triumphant,Breathy Indie Singing,Deep Male Lead,Modular Synths and Drum Machines,Melodic Techno Cinema,130 BPM Techno,Techno Progressive,Synth Riff Hook,Cosmic Exploration,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Deep House Sunset,Warm elegant deep house.,House,Deep House,Warm and Intimate,Smooth R&B Croon,Deep Male Lead,"House Piano, Disco Bass and Claps",Deep House Warmth,120 BPM Deep House,EDM Build and Drop,Soft Intimate Refrain,Summer Freedom,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Uplifting Trance Flight,Huge euphoric trance journey.,Trance,Uplifting Trance,Euphoric,Power Pop Belt,Deep Male Lead,Trance Supersaws and Arpeggios,Trance Euphoric Wide,134 BPM Trance,Trance Journey,Big Sung Chorus,Ocean and Nature,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Liquid DnB Heartbreak,Fast liquid DnB with soulful vocal.,Drum and Bass / Jungle,Liquid Drum and Bass,Bittersweet,Breathy Indie Singing,Deep Male Lead,"DnB Breakbeats, Reese Bass and Pads",DnB Club Pressure,174 BPM Liquid DnB,DnB Vocal Journey,Melodic Earworm,Breakup and Recovery,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Jungle Soundsystem,Raw breakbeat jungle pressure.,Drum and Bass / Jungle,Jungle,Rebellious,Dancehall Toasting,Deep Male Lead,Jungle Breaks and Dub Sub,Jungle Soundsystem,180 BPM Jungle,DnB Vocal Journey,Dancehall Callout,Dancefloor Escape,Mostly Clean,Hard-Hitting,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Cinematic Dubstep Drop,Massive bass-music trailer hybrid.,Dubstep / Bass Music,Brostep Dubstep,Apocalyptic,Choir-Only Performance,Massive Mixed Choir,Dubstep Wobbles and Cinematic Impacts,Dubstep Sub-Heavy,145 BPM Rage,EDM Build and Drop,Drop-Centered Instrumental Hook,Dystopian Resistance,Mostly Clean,Explosive,Horror,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Midnight Drift Phonk,Distorted night-drive phonk.,Electronic,Drift Phonk,Dark and Paranoid,Whisper Rap,Deep Male Lead,"Phonk Cowbells, Distorted Bass and Memphis Chops",Phonk Saturated,130 BPM Techno,Rap Anthem,Sample Chop Hook,Luxury Cars,Mostly Clean,Strong,Very Dark,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Dark Ambient Void,Slow immersive dark ambient.,Ambient,Dark Ambient,Eerie,Instrumental - No Vocals,Instrumental / No Lead Vocal,Modular Synths and Drum Machines,Ultra-Wide Atmospheric,Variable Rubato,Ambient Evolution,No Repeated Hook,Cosmic Exploration,Mostly Clean,None,Abyssal,None / Free Verse,Minimal Lyrics,No Narrative,Completely Dry,About 4.5 Minutes
Horror Score Pursuit,Cinematic horror chase cue.,Orchestral / Cinematic,Horror Score,Suspenseful,Choir-Only Performance,Small Gospel Choir,"Horror Strings, Drones and Prepared Piano",Horror Film Soundstage,Half-Time to Double-Time,Cinematic Three Act,Synth Riff Hook,Horror Pursuit,Mostly Clean,Dynamic Swells,Horror,None / Free Verse,Minimal Lyrics,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Late-Night Jazz Club,Natural small-club jazz.,Jazz,Cool Jazz,Warm and Intimate,Jazz Scat,Deep Male Lead,Grand Piano and String Quartet,Jazz Club Natural,84 BPM Soul Pocket,Jazz Head Solos Head,Jazz Motif,City Isolation,Mostly Clean,Gentle,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
P-Funk Mothership,Rubbery psychedelic funk party.,Funk,P-Funk,Playful,Gospel Call and Response,Deep Male Lead,"Horn Section, Clavinet and Slap Bass",Vintage Soul Vinyl,100 BPM Funk Groove,Rap Anthem,Call and Response,Comedy and Absurdity,Mostly Clean,Moderate,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Chicago Blues Confession,Electric blues club story.,Blues,Chicago Blues,Heartbroken,Raspy Rock Belt,Deep Male Lead,"Blues Guitar, Hammond Organ and Shuffle Drums",Live Band Room,78 BPM Laid-Back,Country Story Arc,Guitar Riff Hook,Grief and Memory,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Linear Story,Sparse Accent Ad-Libs,About 3 Minutes
Modern Country Road,Polished country road story.,Country,Modern Country,Hopeful,Country Storytelling Twang,Deep Male Lead,"Telecaster, Pedal Steel and Drums",Country Radio Polish,96 BPM Boom Bap,Country Story Arc,Big Sung Chorus,Road Trip,Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Appalachian Folk Tale,Acoustic mountain narrative.,Folk / Acoustic,Appalachian Folk,Nostalgic,Folk Harmony Lead,Deep Male Lead,"Acoustic Guitar, Mandolin and Fiddle",Live Band Room,84 BPM Soul Pocket,Country Story Arc,Soft Intimate Refrain,Family Legacy,Clean,Strong,Balanced,Balanced,Selective Metaphor,Three-Act Story,Sparse Accent Ad-Libs,About 3 Minutes
Roots Reggae Reflection,Warm roots reggae meditation.,Reggae / Dancehall,Roots Reggae,Spiritual,Dancehall Toasting,Deep Male Lead,Reggae Skank Guitar and Dub Bass,Dub Reggae Space Echo,78 BPM Laid-Back,Rap Anthem,Call and Response,Faith and Redemption,Mostly Clean,Gentle,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Dancehall Summer,Bright modern dancehall party.,Reggae / Dancehall,Modern Dancehall,Celebratory,Dancehall Toasting,Deep Male Lead,Dancehall Drums and Digital Stabs,Festival EDM Master,105 BPM Reggaeton,Rap Anthem,Dancehall Callout,Summer Freedom,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Reggaeton Neon,Polished nocturnal reggaeton.,Latin / Reggaeton,Reggaeton,Seductive,Reggaeton Sing-Rap,Mixed-Gender Duet,Reggaeton Dembow and Nylon Guitar,Polished Radio Pop,105 BPM Reggaeton,Rap Anthem,Reggaeton Sing-Along,Late-Night Desire,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Afrobeat Golden Hour,Layered joyful Afrobeat groove.,Afrobeat / Afropop,Afrobeat,Celebratory,Afrobeat Melodic Phrasing,Deep Male Lead,"Afrobeat Guitars, Horns and Percussion",Live Band Room,110 BPM Afrobeat,Rap Anthem,Afrobeat Circular Melody,Friendship,Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Gospel Redemption,Full testimony and choir lift.,Gospel,Gospel Choir,Spiritual,Gospel Call and Response,Massive Mixed Choir,"Gospel Organ, Piano and Choir",Orchestral Concert Hall,84 BPM Soul Pocket,Gospel Testimony,Gospel Choir Response,Faith and Redemption,Family Friendly,Dynamic Swells,Dark with Hope,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Lo-Fi Study Rain,Dusty relaxed instrumental lo-fi.,Lo-Fi,Lo-Fi Hip-Hop,Meditative,Instrumental - No Vocals,Instrumental / No Lead Vocal,"Lo-Fi Keys, Dusty Drums and Tape Noise",Lo-Fi Cassette,72 BPM Slow,Ambient Evolution,No Repeated Hook,Dreams and Sleep,Mostly Clean,None,Balanced,None / Free Verse,Minimal Lyrics,No Narrative,Completely Dry,About 3 Minutes
Vaporwave Mall Memory,Degraded nostalgic vaporwave.,Vaporwave,Vaporwave,Nostalgic,Robotic Vocoder,Vocoder Ensemble,Analog Synthwave Rig,Vaporwave Degraded Digital,84 BPM Soul Pocket,Ambient Evolution,Sample Chop Hook,Digital Identity,Mostly Clean,Strong,Balanced,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 3 Minutes
Epic Trailer Last Stand,"Orchestra, choir and modern impacts.",Orchestral / Cinematic,Epic Trailer Hybrid,Heroic,Choir-Only Performance,Massive Mixed Choir,"Orchestral Strings, Brass and Timpani",Cinematic Trailer Hybrid,Half-Time to Double-Time,Cinematic Three Act,Gang Vocal Shout,Underdog Victory,Mostly Clean,Explosive,Dark with Hope,Balanced,Selective Metaphor,Character Portrait,Sparse Accent Ad-Libs,About 4 Minutes
