index,name,prompt
,Girl Group — Tight Harmonies,"Use Girl Group — Tight Harmonies as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Girl Group — Stacked Pop Vocals,"Use Girl Group — Stacked Pop Vocals as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Girl Group — R&B Harmonies,"Use Girl Group — R&B Harmonies as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Male/Female Duet,"Use Male/Female Duet as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Mixed-Gender Duet — Trading Leads,"Use Mixed-Gender Duet — Trading Leads as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Female Lead + Backing Trio,"Use Female Lead + Backing Trio as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Male Lead + Backing Trio,"Use Male Lead + Backing Trio as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Choir-Backed Lead,"Use Choir-Backed Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Call-and-Response Group,"Use Call-and-Response Group as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Unison Group Vocal,"Use Unison Group Vocal as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Three-Part Harmony Group,"Use Three-Part Harmony Group as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Youthful Female Lead,"Use Youthful Female Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Mature Smoky Female Lead,"Use Mature Smoky Female Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Alto Female Lead,"Use Alto Female Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Bright Soprano Lead,"Use Bright Soprano Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Deep Contralto Lead,"Use Deep Contralto Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Spoken Female Lead,"Use Spoken Female Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Spoken Male Lead,"Use Spoken Male Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Rap Duo,"Use Rap Duo as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Rap Crew / Posse Vocal,"Use Rap Crew / Posse Vocal as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Lead + Crowd Chant,"Use Lead + Crowd Chant as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Lead + Gang Vocals,"Use Lead + Gang Vocals as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Male Duo — Contrasting Registers,"Use Male Duo — Contrasting Registers as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Boy Band — Layered Pop Harmonies,"Use Boy Band — Layered Pop Harmonies as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Mixed Vocal Quartet,"Use Mixed Vocal Quartet as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Female Rap Lead + Sung Female Hook,"Use Female Rap Lead + Sung Female Hook as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Male Rap Lead + Sung Male Hook,"Use Male Rap Lead + Sung Male Hook as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Female Rap Duo,"Use Female Rap Duo as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Mixed Rap Crew,"Use Mixed Rap Crew as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Tenor Lead + Falsetto Doubles,"Use Tenor Lead + Falsetto Doubles as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Baritone Storyteller,"Use Baritone Storyteller as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Bass-Baritone Lead,"Use Bass-Baritone Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Countertenor Lead,"Use Countertenor Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Mezzo-Soprano Lead,"Use Mezzo-Soprano Lead as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Soul Trio,"Use Soul Trio as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Gospel Quartet,"Use Gospel Quartet as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Large Gospel Choir,"Use Large Gospel Choir as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
,Small Chamber Choir,"Use Small Chamber Choir as the lead-vocal arrangement, with clear roles, sensible ranges, coordinated doubles and harmonies."
