index,name,prompt
37,Jazz Club Natural,"Mix and master with a Jazz Club Natural aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
38,Country Radio Polish,"Mix and master with a Country Radio Polish aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
39,Orchestral Concert Hall,"Mix and master with a Orchestral Concert Hall aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
40,Vaporwave Degraded Digital,"Mix and master with a Vaporwave Degraded Digital aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
41,Shoegaze Haze,"Mix and master with a Shoegaze Haze aesthetic, controlling depth, saturation, stereo width, transients, low end, and vocal placement accordingly."
42,Raw Seattle Live Room,"Raw early-1990s live-room production with loud natural drums, dense guitars, audible human movement, restrained editing, and a wide emotional chorus."
43,Polished Arena Alternative,"Polished arena-alternative mix with defined guitars, solid bass, large live drums, clear vocal focus, and controlled chorus width."
44,Classic Analog Hard Rock,"Classic analog hard-rock production with tape warmth, roomy drums, forward guitars, natural dynamics, and minimal digital perfection."
45,Modern Heavy Precision,"Modern heavy production with tight low-tuned guitars, separated bass, punchy sampled-and-live drums, large clean hooks, and precise impact automation."
46,Minimal Whisper Pop,"Ultra-minimal close-mic pop production with dry intimate vocal, deep soft sub, tiny percussive details, and dramatic negative space."
47,Vintage Soul Console,"Vintage soul-console sound with warm saturation, rounded transients, live ensemble bleed, plate reverb, and emotionally forward vocals."
48,French Filter House,"French filter-house production with pumping compression, resonant automation, saturated disco sampling, crisp club drums, and bright stereo excitement."
49,Progressive Festival Wide,"Clean progressive-festival production with wide side-chained chords, deep centered kick and bass, long builds, and an expansive melodic drop."
50,Nocturnal Future Garage,"Dark spacious future-garage mix with submerged ambience, shuffled transients, deep mono sub, distant vocal fragments, and rainy high-frequency texture."
51,Cinematic Trip-Hop Noir,"Cinematic trip-hop production with dusty drums, analog low end, dark orchestral or keyboard color, tape texture, and close noir vocals."
52,Roots Dub Space,"Roots-dub production with powerful bass, dry one-drop drums, spring reverb, tape echo throws, dropouts, and generous negative space."
53,Afrofusion Radio Polish,"Contemporary Afrofusion polish with clear percussion layers, warm bass, sparkling guitars, natural vocal presence, and a bright danceable master."
54,Classic Jazz Club Room,"Natural small jazz-club recording with realistic ensemble placement, gentle tape warmth, preserved dynamics, and audible room response."
55,Minimal Hybrid Score,"Minimal hybrid-score production with repeating motifs, restrained processed strings, detailed low-level electronics, slow crescendos, and cinematic depth."
56,Dry Broadcast Speech,"Dry broadcast speech production with excellent intelligibility, light compression, subtle de-essing, minimal room sound, and no sung vocal processing."
57,Intimate Binaural Speech,"Close intimate stereo speech with breath detail, gentle warmth, low noise, very light compression, and no music competing with the voice."
58,Large Trailer Voice Mix,"Cinematic spoken-voice mix with deep controlled narration, broad low-volume underscore, dramatic pauses, impacts between phrases, and maximum intelligibility."
59,Emergency Transmission FX,"Spoken transmission treatment with band-limited radio tone, restrained static, occasional signal breakup, and words kept fully understandable."
60,Natural Podcast Studio,"Clean conversational podcast production with consistent levels, natural tone, subtle room control, and no music unless explicitly requested."
61,Cold Machine Precision,"Cold precise electronic production with tightly gated transients, disciplined low end, metallic depth, and intentionally mechanical movement."
62,Pop-Punk Radio Punch,"Bright punchy pop-punk production with tight live drums, defined bass, layered power guitars, and a forward singalong vocal."
63,Industrial Master,"Abrasive industrial mix with controlled distortion, mechanical percussion, dense midrange texture, and clear vocal intelligibility through the noise."
64,Polished Modern Pop,"Highly polished modern pop mix with focused low end, bright detail, strong vocal placement, compact dynamics, and radio-ready loudness."
65,Classic Funk Live,"Natural live-funk production with tight ensemble interaction, warm console saturation, crisp transients, and preserved rhythmic dynamics."
66,Neo-Soul Tape Warmth,"Warm neo-soul production with tape saturation, rounded transients, deep pocket, intimate vocals, and gentle analog depth."
67,West Coast Analog Warmth,"Smooth West Coast hip-hop production with rounded drums, elastic bass, glossy synth leads, relaxed vocal space, and analog warmth."
68,Dusty Boom Bap,"Dusty boom-bap production with crunchy drums, chopped sample texture, centered bass, narrow vintage color, and voice-forward balance."
69,Rage Digital Clipping,"Intentionally aggressive rage-trap production with controlled digital clipping, distorted 808s, bright synth edges, and high-energy vocal space."
70,Experimental Glitch,"Detailed experimental electronic production with micro-edits, granular texture, unusual stereo events, and controlled dynamic surprise."
71,Berlin Warehouse Raw,"Raw warehouse-techno mix with a dominant kick and rumble, restrained stereo width, gritty percussion, and long hypnotic automation."
72,Dancehall Digital Punch,"Clean digital dancehall production with deep bass, crisp syncopated drums, bright stabs, dry vocal placement, and club-ready impact."
73,Reggaeton Club Polish,"Polished reggaeton mix with focused dembow, deep controlled sub, bright percussion, intimate lead vocal, and modern club loudness."
,Dry Intimate Vocal Booth,"Mix with a Dry Intimate Vocal Booth character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Warm 1970s Tape Studio,"Mix with a Warm 1970s Tape Studio character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Bright 1980s Digital Studio,"Mix with a Bright 1980s Digital Studio character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Punchy 1990s Alternative Mix,"Mix with a Punchy 1990s Alternative Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Glossy 2000s Pop-Rock Mix,"Mix with a Glossy 2000s Pop-Rock Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Modern Loud Rock Master,"Mix with a Modern Loud Rock Master character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Natural Rehearsal-Room Recording,"Mix with a Natural Rehearsal-Room Recording character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Wide Arena Live Sound,"Mix with a Wide Arena Live Sound character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Raw Garage Four-Track,"Mix with a Raw Garage Four-Track character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Dense Wall-of-Sound Production,"Mix with a Dense Wall-of-Sound Production character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Minimal Bedroom Recording,"Mix with a Minimal Bedroom Recording character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Polished Streaming Pop Master,"Mix with a Polished Streaming Pop Master character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Vocal-Forward R&B Mix,"Mix with a Vocal-Forward R&B Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Deep Pocket Neo-Soul Mix,"Mix with a Deep Pocket Neo-Soul Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Dusty Boom-Bap Mix,"Mix with a Dusty Boom-Bap Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Clean Modern Trap Mix,"Mix with a Clean Modern Trap Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Cold Spacious Drill Mix,"Mix with a Cold Spacious Drill Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Distorted Rage-Rap Master,"Mix with a Distorted Rage-Rap Master character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Analog Disco Sheen,"Mix with a Analog Disco Sheen character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Tight Dry Funk Mix,"Mix with a Tight Dry Funk Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Dubwise Tape Echo and Spring Reverb,"Mix with a Dubwise Tape Echo and Spring Reverb character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Warm Lovers-Rock Mix,"Mix with a Warm Lovers-Rock Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Crisp Afrobeats Radio Mix,"Mix with a Crisp Afrobeats Radio Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Sub-Heavy Amapiano Club Mix,"Mix with a Sub-Heavy Amapiano Club Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Open-Air Festival Dance Mix,"Mix with a Open-Air Festival Dance Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Dark Warehouse Techno Mix,"Mix with a Dark Warehouse Techno Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Hypnotic Minimal Club Mix,"Mix with a Hypnotic Minimal Club Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Euphoric Trance Panorama,"Mix with a Euphoric Trance Panorama character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Soundsystem Jungle Pressure,"Mix with a Soundsystem Jungle Pressure character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Clean Liquid DnB Mix,"Mix with a Clean Liquid DnB Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Aggressive Neurofunk Master,"Mix with a Aggressive Neurofunk Master character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Deep UK Dubstep Space,"Mix with a Deep UK Dubstep Space character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Retro Synthwave Cinema Mix,"Mix with a Retro Synthwave Cinema Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Cold Industrial Machine Mix,"Mix with a Cold Industrial Machine Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Soft Dream-Pop Haze,"Mix with a Soft Dream-Pop Haze character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Dense Shoegaze Wash,"Mix with a Dense Shoegaze Wash character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Natural Jazz Club Recording,"Mix with a Natural Jazz Club Recording character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Vintage Mono Soul Recording,"Mix with a Vintage Mono Soul Recording character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Modern Country Radio Mix,"Mix with a Modern Country Radio Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Rustic Americana Live Mix,"Mix with a Rustic Americana Live Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Concert-Hall Orchestra,"Mix with a Concert-Hall Orchestra character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Close-Miked Chamber Ensemble,"Mix with a Close-Miked Chamber Ensemble character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Massive Hybrid Trailer Mix,"Mix with a Massive Hybrid Trailer Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Minimalist Film-Score Space,"Mix with a Minimalist Film-Score Space character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Immersive Dark Ambient Field,"Mix with a Immersive Dark Ambient Field character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,Theatrical Cast-Recording Mix,"Mix with a Theatrical Cast-Recording Mix character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
,A Cappella Studio Stack,"Mix with a A Cappella Studio Stack character, controlling vocal placement, low end, transients, depth, width and saturation deliberately."
