name,prompt,negative_prompt,category,weight,favorite
"0111 | Perspective/Direct Rear/Direct Rear Camera — three-quarter-length crop, 40mm natural-perspective lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; three-quarter-length crop; 40mm natural-perspective lens; rule-of-thirds composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0112 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 135mm telephoto lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; cinematic landscape framing; 135mm telephoto lens; rule-of-thirds composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0113 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 35mm environmental lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; full-figure camera distance; waist-up crop; 35mm environmental lens; asymmetrical cinematic balance; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0114 | Perspective/Direct Rear/Direct Rear Camera — full-figure framing, 40mm natural-perspective lens, centred composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera distance balanced between subject and environment; full-figure framing; 40mm natural-perspective lens; centred composition; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0115 | Perspective/Direct Rear/Direct Rear Camera — vertical editorial framing, 35mm environmental lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera close enough to retain material texture; vertical editorial framing; 35mm environmental lens; environmental elements framing the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0116 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 135mm telephoto lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; conversational camera distance; cinematic landscape framing; 135mm telephoto lens; environmental elements framing the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0117 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 50mm standard lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; wide scene distance; head-and-shoulders crop; 50mm standard lens; environmental elements framing the subject; deep focus across the visible environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0118 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 65mm short-portrait lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; moderate camera distance; head-and-shoulders crop; 65mm short-portrait lens; slightly off-centre editorial composition; clean edge separation around the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0119 | Perspective/Direct Rear/Direct Rear Camera — vertical editorial framing, 70mm short-telephoto lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; conversational camera distance; vertical editorial framing; 70mm short-telephoto lens; foreground-to-background depth layering; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0120 | Perspective/Direct Rear/Direct Rear Camera — full-figure framing, 35mm environmental lens, slightly off-centre editorial composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; conversational camera distance; full-figure framing; 35mm environmental lens; slightly off-centre editorial composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0121 | Perspective/Direct Rear/Direct Rear Camera — vertical editorial framing, 24mm wide-angle lens with controlled edge distortion, clean negative space around the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; full-figure camera distance; vertical editorial framing; 24mm wide-angle lens with controlled edge distortion; clean negative space around the subject; moderate depth of field retaining nearby context; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0122 | Perspective/Direct Rear/Direct Rear Camera — balanced square framing, 85mm portrait lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; environmental portrait distance; balanced square framing; 85mm portrait lens; rule-of-thirds composition; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0123 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 24mm wide-angle lens with controlled edge distortion, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; conversational camera distance; head-and-shoulders crop; 24mm wide-angle lens with controlled edge distortion; asymmetrical cinematic balance; deep focus across the visible environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0124 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 65mm short-portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera close enough to retain material texture; cinematic landscape framing; 65mm short-portrait lens; minimal uncluttered composition; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0125 | Perspective/Direct Rear/Direct Rear Camera — medium crop, 65mm short-portrait lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; full-figure camera distance; medium crop; 65mm short-portrait lens; minimal uncluttered composition; clean edge separation around the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0126 | Perspective/Direct Rear/Direct Rear Camera — balanced square framing, 65mm short-portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; balanced square framing; 65mm short-portrait lens; foreground-to-background depth layering; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0127 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 70mm short-telephoto lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; conversational camera distance; wide environmental framing; 70mm short-telephoto lens; asymmetrical cinematic balance; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0128 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 105mm compressed portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera distance balanced between subject and environment; waist-up crop; 105mm compressed portrait lens; asymmetrical cinematic balance; focus weighted toward the rear silhouette when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0129 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 28mm moderately wide lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; wide environmental framing; 28mm moderately wide lens; rule-of-thirds composition; shallow depth of field with clean subject separation; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0130 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 105mm compressed portrait lens, asymmetrical cinematic balance","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; wide environmental framing; 105mm compressed portrait lens; asymmetrical cinematic balance; focus locked on the primary subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0131 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 65mm short-portrait lens, environmental elements framing the subject","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; close camera distance; wide environmental framing; 65mm short-portrait lens; environmental elements framing the subject; balanced focus between subject and immediate environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0132 | Perspective/Direct Rear/Direct Rear Camera — waist-up crop, 24mm wide-angle lens with controlled edge distortion, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; full-figure camera distance; waist-up crop; 24mm wide-angle lens with controlled edge distortion; rule-of-thirds composition; focus locked on the primary subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0133 | Perspective/Direct Rear/Direct Rear Camera — wide environmental framing, 70mm short-telephoto lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera far enough back to preserve spatial context; wide environmental framing; 70mm short-telephoto lens; foreground-to-background depth layering; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0134 | Perspective/Direct Rear/Direct Rear Camera — full-figure framing, 105mm compressed portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; camera close enough to retain material texture; full-figure framing; 105mm compressed portrait lens; foreground-to-background depth layering; deep focus across the visible environment; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0135 | Perspective/Direct Rear/Direct Rear Camera — three-quarter-length crop, 65mm short-portrait lens, foreground-to-background depth layering","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; wide scene distance; three-quarter-length crop; 65mm short-portrait lens; foreground-to-background depth layering; focus weighted toward facial detail when visible; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0136 | Perspective/Direct Rear/Direct Rear Camera — head-and-shoulders crop, 28mm moderately wide lens, rule-of-thirds composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; moderate camera distance; head-and-shoulders crop; 28mm moderately wide lens; rule-of-thirds composition; foreground softly separated from the subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
"0137 | Perspective/Direct Rear/Direct Rear Camera — cinematic landscape framing, 35mm environmental lens, minimal uncluttered composition","camera and framing instruction only; preserve the existing subject body arrangement, action, expression, clothing, interaction, and limb placement supplied by the other prompt inputs; camera positioned directly behind the primary subject, optical axis aligned with the rear-facing side, back-facing silhouette given visual priority, facial features not presented to the camera; close camera distance; cinematic landscape framing; 35mm environmental lens; minimal uncluttered composition; focus locked on the primary subject; coherent camera-to-scene geometry","front-facing camera placement, visible frontal face, direct eye contact, mirror view, changed body arrangement, changed action, changed expression, changed clothing, changed interaction, altered limb placement, contradictory camera angle, impossible perspective, duplicate subject, warped architecture, inconsistent scale, random text, watermark, logo artifacts, blur",Perspective/Direct Rear,1,False
