"name","prompt"
"Medium / Lob","Classic long bob ending near the shoulders, clean shape, slight internal layering, polished finish."
"Medium / Blunt Lob","Blunt shoulder-length lob, sharp even perimeter, minimal layering, sleek modern silhouette."
"Medium / Layered Lob","Shoulder-length layered lob, soft movement through the ends, light crown volume, effortless finish."
"Medium / Wavy Lob","Shoulder-length lob styled in loose waves, textured separation, relaxed modern volume."
"Medium / Curly Lob","Shoulder-length curly lob, rounded shape, defined curls, balanced volume around the head."
"Medium / Italian Bob","Voluminous Italian bob at neck length, full rounded ends, soft side part, luxurious blowout shape."
"Medium / Midi Cut","Medium-length midi haircut, soft long layers, smooth rounded ends, understated polished movement."
"Medium / Shag","Medium shag haircut, choppy layers, textured crown, wispy ends, intentionally undone finish."
"Medium / Wolf Cut","Medium wolf cut, short crown layers, longer textured back, edgy volume and tousled movement."
"Medium / Octopus Cut","Medium octopus haircut, rounded layered crown, separated tapered lower sections, distinctive sculpted shape."
"Medium / Rachel Layers","Medium bouncy layered haircut, pronounced face-framing sections, rounded blowout ends, lively volume."
"Medium / Flipped Ends","Medium-length hair with smooth body and outward-flipped ends, polished retro-inspired finish."
"Medium / Soft Curls","Medium-length soft curls, loose spiral definition, rounded volume, touchable natural finish."
"Medium / Tousled","Medium-length tousled hairstyle, irregular bends, light texture, relaxed effortless movement."
"Bob / Classic Chin-Length","Classic chin-length bob, clean rounded shape, subtle under-bevelled ends, precise silhouette."
"Bob / Blunt","Sharp blunt bob, straight even perimeter, minimal layering, sleek architectural shape."
"Bob / French","Short French bob ending near the jaw, softly tousled texture, compact chic silhouette."
"Bob / Box Bob","Geometric box bob, strong square outline, blunt ends, structured modern shape."
"Bob / A-Line","A-line bob, shorter at the back and gradually longer toward the front, clean angled perimeter."
"Bob / Inverted","Inverted bob with stacked back layers, longer front sections, lifted rounded shape."
"Bob / Graduated","Graduated bob, precisely stacked nape, smooth curved volume, softly angled front."
"Bob / Textured","Textured bob, piecey separated ends, light internal layers, casual modern movement."
"Bob / Wavy","Chin-length wavy bob, loose bends, airy volume, softly tousled finish."
"Bob / Curly","Curly bob with defined ringlets, rounded balanced shape, natural spring and volume."
"Bob / Bubble","Bubble bob, softly rounded silhouette, tucked-under ends, plush full shape."
"Bob / Bixie","Bixie haircut combining a short bob and pixie, layered crown, tapered edges, soft piecey texture."
"Bob / Pageboy","Pageboy haircut, smooth rounded cap shape, curved-under ends, precise vintage silhouette."
"Bob / Asymmetrical","Asymmetrical bob, one side noticeably longer, sharp modern lines, sleek controlled texture."
"Bob / Tucked Behind Ear","Polished short bob with one side tucked behind the ear, clean side part, smooth sculpted finish."
"Pixie / Classic","Classic pixie cut, short tapered sides and back, slightly longer textured crown, neat feminine shape."
"Pixie / Textured","Textured pixie cut, piecey crown layers, soft tapered sides, tousled modern finish."
"Pixie / Long","Long pixie cut, extended top and fringe, cropped sides, soft layered movement."
"Pixie / Side-Swept","Side-swept pixie, long diagonal fringe, short tapered nape, polished asymmetric flow."
"Pixie / Curly","Curly pixie cut, short springy curls, softly shaped sides, lively textured crown."
"Pixie / Undercut","Pixie undercut, closely cropped sides and back, longer textured top, bold clean contrast."
"Pixie / Spiky","Short spiky pixie, separated pointed texture, lifted crown, energetic edgy silhouette."
"Short / Crop","Short cropped haircut, neat tapered sides, subtly textured top, clean low-maintenance shape."
"Short / French Crop","French crop hairstyle, short tapered sides, textured top, compact forward fringe."
"Short / Caesar","Caesar cut, short even layers, straight compact fringe, tidy structured silhouette."
"Short / Buzz Cut","Clean buzz cut, uniformly close-cropped length, precise hairline, minimalist shape."
"Short / Crew Cut","Classic crew cut, closely tapered sides, slightly longer top, clean structured finish."
"Short / Ivy League","Ivy League cut, short tapered sides, enough length on top for a neat side part, refined shape."
"Short / Pompadour","Short pompadour, lifted swept-back front, tapered sides, controlled sculpted volume."
"Short / Quiff","Modern quiff, textured front lifted upward and back, shorter sides, balanced volume."
"Short / Slicked Back","Short slicked-back hairstyle, smooth combed direction, controlled volume, clean tapered edges."
"Short / Tousled Crop","Short tousled crop, irregular piecey texture, relaxed lifted crown, natural matte finish."
"Short / Faux Hawk","Soft faux hawk, elevated central ridge, shorter tapered sides, textured modern finish."
"Bangs / Curtain","Long curtain bangs parted through the center, sweeping outward, smoothly blended into surrounding layers."
"Bangs / Wispy","Light wispy bangs, fine separated strands, soft uneven transparency, delicate feathered edge."
"Bangs / Blunt","Dense blunt bangs cut straight across, precise even line, smooth full coverage."
"Bangs / Bottleneck","Bottleneck bangs, shorter through the center and gradually longer at the sides, softly curved shape."
"Bangs / Birkin","Soft Birkin-style bangs, full but airy fringe, slightly imperfect ends, relaxed natural texture."
"Bangs / Side-Swept","Long side-swept fringe, diagonal flow across the forehead, blended layered ends."
"Bangs / Micro","Very short micro bangs, precise compact fringe above the brows, bold graphic line."
"Bangs / Baby","Short baby bangs with softly textured ends, compact playful fringe, light separation."
"Bangs / Arched","Rounded arched bangs, slightly shorter at the center and longer toward the temples, smooth sculpted edge."
"Bangs / Choppy","Choppy textured bangs, uneven piecey sections, edgy separated finish."
"Bangs / Curly","Naturally curly bangs, soft ringlet definition, rounded fringe shape, controlled spring."
"Bangs / Shag Fringe","Shaggy fringe with layered uneven sections, airy separation, effortless rock-inspired texture."
"Bangs / Korean Air","Very light airy bangs, fine translucent strands, gentle curved shape, soft delicate finish."
"Bangs / Split","Split fringe with a narrow center opening, softly curved sections framing each side."
"Bangs / Long Face-Framing","Extra-long fringe pieces sweeping along the cheek area, seamlessly blended into layered lengths."
"Ponytail / High Sleek","High sleek ponytail, smooth tight crown, clean lifted base, long controlled tail."
"Ponytail / High Voluminous","High ponytail with lifted crown volume, full flowing tail, soft wrapped base."
"Ponytail / Low Sleek","Low sleek ponytail at the nape, precise parting, smooth polished surface, minimalist finish."
"Ponytail / Low Loose","Loose low ponytail, softly gathered texture, relaxed crown, delicate escaped strands."
"Ponytail / Mid-Height","Classic mid-height ponytail, balanced lift, smooth gathered shape, natural flowing tail."
"Ponytail / Bubble","Bubble ponytail divided into rounded sections, evenly spaced ties, full sculpted volume."
"Ponytail / Braided","Ponytail transitioning into a clean three-strand braid, smooth crown, neatly secured base."
"Ponytail / Curly","High curly ponytail, smooth gathered crown, full cascading curls, lively rounded volume."
"Ponytail / Wavy","Soft wavy ponytail, relaxed crown texture, flowing S-shaped movement through the tail."
"Ponytail / Side","Side ponytail gathered over one shoulder, soft volume, playful asymmetrical silhouette."
"Ponytail / Wrapped Base","Polished ponytail with a section of hair wrapped around the base, seamless elegant finish."
"Ponytail / Messy","Messy ponytail, loosely gathered crown, textured flyaways, casual uneven volume."
"Bun / High Sleek","High sleek bun, smooth tight crown, compact polished coil, precise clean finish."
"Bun / High Messy","High messy bun, loosely twisted shape, soft flyaways, relaxed effortless volume."
"Bun / Low Sleek","Low sleek bun at the nape, smooth precise parting, tightly controlled polished shape."
"Bun / Low Textured","Low textured bun, softly twisted sections, gentle volume, romantic loose finish."
"Bun / Ballet","Classic ballet bun, tightly gathered hair, neat rounded coil, immaculate smooth surface."
"Bun / Top Knot","High top knot, compact twisted shape at the crown, clean lifted silhouette."
"Bun / Space Buns","Two symmetrical high space buns, smooth divided parting, rounded playful shapes."
"Bun / Half-Up","Half-up bun with the lower lengths left loose, softly gathered crown, casual balanced shape."
"Bun / Double Low","Two low buns positioned near the nape, symmetrical rounded coils, neat divided parting."
"Bun / Braided","Braided bun formed from wrapped plaits, intricate woven texture, secure elegant shape."
"Bun / Chignon","Classic low chignon, smooth rolled construction, refined compact silhouette at the nape."
"Bun / French Twist","Elegant French twist, vertically rolled structure, smooth sides, polished sculptural finish."
"Updo / Romantic","Romantic updo with loosely pinned curls, soft volume, delicate tendrils, graceful textured shape."
"Updo / Twisted","Intricate twisted updo, overlapping smooth sections, controlled volume, elegant pinned construction."
"Updo / Crown Volume","Formal updo with lifted crown volume, smoothly swept sides, structured pinned back."
"Updo / Claw Clip","Casual claw-clip twist, lengths folded upward, softly secured shape, loose ends and natural texture."
"Updo / Banana Clip","Full banana-clip updo, vertically gathered volume, soft cascading texture, retro silhouette."
"Updo / Gibson Tuck","Gibson tuck hairstyle, rolled low back section, smooth sides, refined vintage shape."
"Braid / Classic Three-Strand","Classic three-strand braid, evenly woven sections, clean consistent tension, softly finished end."
"Braid / French","Single French braid beginning at the crown, smoothly incorporated sections, neat continuous weave."
"Braid / Dutch","Raised Dutch braid, inverted woven structure, strong defined sections, clean dimensional texture."
"Braid / Fishtail","Fishtail braid, fine alternating woven sections, intricate narrow texture, softly loosened finish."
"Braid / Rope","Rope braid made from two tightly twisted sections, clean spiral structure, polished finish."
"Braid / Waterfall","Waterfall braid crossing the back of the head, dropped flowing strands, delicate woven detail."
"Braid / Crown","Braided crown wrapped around the head, continuous woven halo, elegant secure shape."
"Braid / Milkmaid","Milkmaid braids wrapped across the crown, symmetrical pinned structure, soft traditional silhouette."
"Braid / Halo","Halo braid encircling the head, full raised woven shape, smooth balanced finish."
"Braid / Side","Loose side braid draped over one shoulder, softly pulled-apart sections, relaxed romantic texture."
"Braid / Double Dutch","Two symmetrical Dutch braids from the hairline to the ends, raised defined weave, precise centre part."
"Braid / Boxer","Two tight boxer braids, clean central parting, firm close-to-scalp weave, athletic polished finish."
"Braid / Pull-Through","Pull-through braid with large rounded linked sections, full dimensional volume, neat repeated pattern."
"Braid / Infinity","Infinity braid featuring repeated figure-eight weaving, intricate decorative centre structure."
"Braid / Four-Strand","Four-strand braid, broad complex woven pattern, even tension, detailed dimensional texture."
"Braid / Pancaked","Loosely pancaked braid, widened pulled-apart loops, full soft volume, romantic textured finish."
"Braids / Box","Long box braids, precise square parting, consistent individual plaits, neat uniform thickness."
"Braids / Knotless Box","Knotless box braids, seamless natural-looking roots, clean parting, lightweight flowing plaits."
"Braids / Micro","Micro braids, very fine uniform plaits, dense detailed texture, flexible flowing movement."
"Braids / Jumbo","Jumbo braids, large bold plaited sections, clean parting, strong sculptural silhouette."
"Braids / Cornrows Straight Back","Straight-back cornrows, precise parallel rows, clean close-to-scalp braiding, symmetrical pattern."
"Braids / Cornrow Pattern","Geometric patterned cornrows, crisp curved parting lines, intricate close-to-scalp woven design."
"Braids / Fulani Inspired","Fulani-inspired braiding arrangement, central cornrow details, side braids, balanced decorative structure."
"Braids / Feed-In","Feed-in braids with seamless gradual thickness, clean scalp parting, smooth elongated rows."
"Braids / Lemonade","Side-swept cornrow braids, diagonal close-to-scalp rows flowing in one direction, clean graphic pattern."
"Braids / Stitch","Stitch braids with sharply defined section lines, evenly spaced close-to-scalp rows, precise modern finish."
"Braids / Tribal Pattern","Intricate braided pattern combining clean cornrows and free-hanging plaits, symmetrical detailed construction."
"Twists / Senegalese","Long Senegalese twists, smooth rope-like sections, consistent thickness, polished flowing texture."
"Twists / Marley","Marley twists, full textured rope sections, natural-looking volume, softly defined finish."
"Twists / Passion","Passion twists, loose bohemian spiral texture, softly irregular sections, full romantic volume."
"Twists / Mini","Mini twists, numerous fine two-strand sections, neat root definition, soft flexible movement."
"Locs / Long","Long mature locs, consistent cylindrical sections, natural variation, full flowing length."
"Locs / Bob","Short loc bob, evenly shaped sections ending around the jaw, balanced rounded silhouette."
"Locs / Freeform","Freeform locs, organic varied sectioning, natural irregular structure, expressive textured volume."
"Locs / Barrel Twist Updo","Locs arranged into barrel twists and pinned upward, sculptural woven texture, secure formal shape."
"Locs / Half-Up","Half-up loc hairstyle, upper sections gathered back, lower locs left flowing, balanced volume."
"Afro / Rounded","Full rounded afro, evenly shaped silhouette, dense natural texture, balanced volume in every direction."
"Afro / Tapered","Tapered afro, shorter sides and back, fuller textured crown, clean shaped outline."
"Afro / Mini","Compact mini afro, dense natural texture, soft rounded shape, neat balanced volume."
"Afro / High Puff","High puff hairstyle, smooth gathered sides, full rounded natural-texture puff at the crown."
"Afro / Two Puffs","Two symmetrical afro puffs, clean central parting, full rounded textured shapes."
"Natural / Twist-Out","Defined twist-out hairstyle, separated elongated curls, soft natural volume, textured shape."
"Natural / Braid-Out","Braid-out texture, stretched crimped waves, fluffy definition, full natural movement."
"Natural / Wash-and-Go","Wash-and-go natural curls, defined hydrated curl pattern, realistic shrinkage, rounded free volume."
"Natural / Pineapple Updo","Pineapple updo, curls gathered loosely at the top, full cascading front texture, relaxed shape."
"Alternative / Mullet","Modern mullet, short textured front and sides, longer layered back, deliberately edgy silhouette."
"Alternative / Soft Mullet","Soft mullet haircut, blended crown layers, gently extended back, wearable tousled texture."
"Alternative / Shullet","Shag-mullet hybrid, heavy crown texture, wispy fringe, long separated back layers."
"Alternative / Jellyfish Cut","Jellyfish haircut, rounded short upper layer with distinctly longer lower lengths, graphic two-tier shape."
"Alternative / Hime Cut","Hime cut, long straight lengths, blunt cheek-length side sections, precise full fringe."
"Alternative / Chelsea Cut","Chelsea-style crop, closely cut crown with longer fringe and side sections, bold alternative silhouette."
"Alternative / Mohawk","Full mohawk, closely cropped sides, high central strip styled upward, dramatic vertical shape."
"Alternative / Liberty Spikes","Tall liberty spikes, sharply separated vertical sections, rigid sculptural construction."
"Alternative / Deathhawk","Wide textured deathhawk, elevated central volume, closely cut sides, dramatic gothic silhouette."
"Alternative / Undercut Long Top","Long textured top with a clean undercut around the sides and back, strong length contrast."
"Alternative / Side Shave","Asymmetrical hairstyle with one closely shaved side and longer flowing hair on the other."
"Alternative / Disconnected Layers","Disconnected haircut with visibly separated layer lengths, sharp contrast, editorial sculptural movement."
"Editorial / Wet Look","Slick wet-look hairstyle, defined comb lines, controlled glossy texture, strands swept away from the face."
"Editorial / Sculpted Waves","Sculpted editorial waves, precise curved ridges, controlled glossy structure, artistic high-fashion finish."
"Editorial / Finger Waves","Short finger-wave styling, smooth S-shaped ridges close to the head, polished vintage structure."
"Editorial / Crimped","Full crimped hairstyle, repeated tight zigzag texture, expanded volume, bold uniform finish."
"Editorial / Zigzag Part","Hairstyle featuring a crisp zigzag parting, smooth controlled sections, playful graphic detail."
"Editorial / Extreme Volume","Extreme high-fashion volume, dramatically lifted roots, oversized rounded silhouette, controlled textured body."
"Editorial / Geometric Bob","Geometric bob with precise angular lines, sharply controlled perimeter, architectural sculpted form."
"Editorial / Hair Bow Shape","Hair sculpted into a bow-shaped updo, symmetrical loops, smooth precise construction, playful editorial finish."
"Vintage / 1920s Marcel Waves","1920s-inspired Marcel waves, deep smooth S-curves close to the head, elegant polished structure."
"Vintage / 1940s Victory Rolls","1940s victory rolls, two sculpted front rolls, controlled side sections, polished vintage volume."
"Vintage / 1950s Pin Curls","1950s pin-curl hairstyle, neatly shaped curls, rounded controlled volume, refined vintage finish."
"Vintage / 1960s Beehive","1960s beehive updo, tall rounded crown volume, smooth sides, carefully structured silhouette."
"Vintage / 1960s Bouffant","1960s bouffant, lifted rounded crown, softly curved ends, glamorous controlled fullness."
"Vintage / 1970s Feathered","1970s feathered hairstyle, centre part, large outward-sweeping layers, airy bouncy volume."
"Vintage / 1980s Big Hair","1980s-inspired big hair, heavily amplified volume, textured curls, lifted crown, energetic silhouette."
"Vintage / 1990s Blowout","1990s supermodel blowout, large bouncy layers, strong root lift, smooth rounded movement."
"Vintage / 1990s Claw Clip","1990s claw-clip twist, casually folded lengths, loose face-framing strands, effortless retro shape."
"Vintage / Y2K Spiky Bun","Y2K-inspired spiky bun, tightly gathered base, straight separated ends projecting outward."
"Vintage / Y2K Pigtails","Y2K-inspired high pigtails, clean centre part, smooth lifted sections, playful symmetrical movement."
"Vintage / Mod Bob","1960s mod bob, compact rounded shape, precise ends, sleek graphic finish."
"Fantasy / Elven Braids","Long flowing hairstyle with delicate narrow braids woven through the sides, elegant layered structure."
"Fantasy / Warrior Braids","Practical warrior hairstyle with tight side braids, secured back sections, controlled rugged texture."
"Fantasy / Royal Updo","Elaborate royal updo, sculpted rolls, woven sections, elevated symmetrical structure."
"Fantasy / Forest Braids","Loose natural hair with small organic braids scattered through the lengths, softly textured woodland feel."
"Fantasy / Dragon Braid","Complex raised braid running along the centre, segmented scale-like structure, dramatic sculptural finish."
"Fantasy / Celestial Updo","High intricate updo with looping sections and delicate braided arcs, elegant otherworldly silhouette."
"Fantasy / Sorceress Waves","Extra-long dramatic waves, lifted crown, flowing separated sections, powerful mystical movement."
"Fantasy / Shieldmaiden","Half-up braided warrior hairstyle, tightly controlled side sections, thick textured lengths left flowing."
"Fantasy / Fairy Curls","Soft airy curls with tiny woven accent braids, lightweight volume, whimsical flowing shape."
"Fantasy / Regal Loc Updo","Locs arranged into a tall regal updo, layered coils and wrapped sections, strong sculptural balance."
"Unisex / Middle Part Curtains","Medium-length curtain hairstyle, clean centre part, sweeping front sections, softly layered sides."
"Unisex / Bro Flow","Medium bro-flow hairstyle, brushed-back natural movement, soft side volume, relaxed layered length."
"Unisex / Surfer","Medium surfer hairstyle, loose tousled waves, natural separation, sun-dried textured movement."
"Unisex / Messy Fringe","Textured medium crop with messy forward fringe, uneven piecey sections, relaxed modern finish."
"Unisex / Two Block","Two-block haircut, closely trimmed lower sides and back, longer layered top, soft controlled volume."
"Unisex / Comma Hair","Neatly styled side part with a curved comma-shaped front lock, smooth compact volume."
"Unisex / Curtain Mullet","Centre-parted curtain front with layered sides and a longer textured back, modern hybrid silhouette."
"Unisex / Slick Centre Part","Sleek centre-parted hairstyle, smooth controlled sides, clean symmetrical flow."
"Unisex / Shaggy Mop","Shaggy medium mop haircut, dense layered fringe, softly messy sides, youthful textured shape."
"Unisex / Taper Fade","Clean taper fade, gradually shortened sides and nape, neatly shaped longer top."
"Unisex / Low Fade","Low fade haircut, subtle close taper near the ears and nape, fuller textured top."
"Unisex / Mid Fade","Mid fade haircut, smooth graduated sides, defined transition into a longer styled top."
"Unisex / High Fade","High fade haircut, closely cropped upper sides, strong contrast with the longer top."
"Unisex / Skin Fade","Precise skin fade, seamless transition from bare-close sides into a longer top, sharp clean outline."
"Unisex / Textured Crop","Textured crop, short layered top, piecey forward movement, clean tapered sides."
"Unisex / Side Part","Classic side-part hairstyle, clean combed direction, moderate controlled volume, tapered sides."
"Unisex / Comb Over","Modern comb-over, defined side part, smooth swept top, neatly tapered sides."
"Unisex / Curly Top Fade","Defined curly top with faded sides, full springy texture above, clean sculpted contrast."
"Unisex / Burst Fade","Burst fade around the ears, smoothly tapered sides, longer textured crown and back."
"Unisex / Edgar Inspired","Compact straight fringe with a rounded textured top and closely tapered sides, bold modern shape."
