"name","prompt"
"Cute / Tear Bag Highlight","Cute under-eye makeup with softly highlighted aegyo-sal, delicate liner, rounded lashes, fresh blush, gradient lips."
"K-Beauty / Everyday","Polished K-beauty makeup, luminous natural base, straight softly defined brows, delicate liner, fresh blush, gradient lip tint."
"K-Beauty / Glass Skin","K-beauty glass-skin finish, highly hydrated luminous complexion, subtle eye definition, soft blush, glossy gradient lips."
"K-Beauty / Soft Coral","K-beauty coral makeup, sheer coral eyelids and cheeks, delicate lashes, straight brows, blurred coral lip tint."
"K-Beauty / Rosy","K-beauty rosy makeup, translucent pink cheek colour, softly shaded eyes, fine liner, juicy rose-gradient lips."
"K-Beauty / Idol","Stage-ready idol makeup, luminous perfected skin, precise eye enlargement, sparkling inner corners, defined lashes, glossy gradient lips."
"K-Beauty / Clean Matte","Clean matte K-beauty makeup, softly blurred complexion, understated contour, delicate eye definition, velvety gradient lips."
"Douyin / Sparkling","Douyin-inspired makeup, luminous porcelain-like base, sharply defined lashes, sparkling lower-eye highlights, flushed cheeks, glossy gradient lips."
"Douyin / Doll Eyes","Douyin-inspired doll-eye makeup, enlarged rounded eye shape, clustered lashes, bright under-eye highlight, tiny precise lips."
"Douyin / Red Flush","Douyin-inspired red-flush makeup, vivid blush across cheeks and nose, sparkling eye accents, defined lashes, glossy cherry-gradient lips."
"Douyin / Cool Pink","Douyin-inspired cool-pink makeup, pale luminous base, pink-violet eyes, icy inner-corner highlight, cool blush, glossy pink lips."
"Douyin / Glam","Douyin-inspired glam, smooth bright complexion, sculpted nose highlight, dimensional lashes, sparkling lids, sharply defined glossy lips."
"Japanese / Igari Inspired","Igari-inspired makeup, translucent skin, blush placed high beneath the eyes and across the nose, minimal eye definition, juicy lips."
"Japanese / Natural","Soft Japanese everyday makeup, lightweight satin base, softly rounded brows, delicate brown liner, warm blush, sheer lip tint."
"Japanese / Gyaru Inspired","Gyaru-inspired makeup, dramatic upper and lower lashes, strongly defined eyes, warm bronzed complexion, glossy pale nude lips."
"Japanese / Harajuku Colour","Harajuku-inspired colourful makeup, playful vivid eye accents, graphic liner details, bright cheek colour, glossy coordinated lips."
"Japanese / Mori Soft","Soft woodland-inspired makeup, natural satin skin, muted earthy eye tones, diffused rosy cheeks, understated tinted lips."
"Smoky / Classic Black","Classic black smoky eye, deep blended pigment around the lash lines, softened edges, sculpted complexion, neutral lips."
"Smoky / Brown","Brown smoky eye, layered chocolate and taupe tones, diffused lower lash line, bronzed cheeks, muted nude lips."
"Smoky / Charcoal","Charcoal smoky makeup, cool grey-black blended lids, defined lashes, subtle contour, restrained neutral lips."
"Smoky / Bronze","Bronze smoky eye, metallic bronze centre lids, deep brown outer corners, warm cheek sculpting, glossy nude lips."
"Smoky / Plum","Plum smoky eye, blended wine-purple tones, dark lash definition, cool rosy cheeks, muted berry-nude lips."
"Smoky / Navy","Navy smoky eye, deep blue pigment blended around the eyes, crisp lash definition, softly sculpted skin, neutral lips."
"Smoky / Olive","Olive smoky eye, earthy green-brown layers, softly smudged liner, warm cheeks, understated nude lips."
"Smoky / Silver","Silver smoky makeup, metallic silver lids, charcoal outer corners, bright inner highlights, cool sculpted complexion."
"Smoky / Halo Eye","Halo-eye makeup, deep inner and outer corners with a bright reflective centre lid, full lashes, balanced neutral lips."
"Smoky / Grunge","Grunge smoky makeup, imperfectly smudged dark shadow, heavy lower-lash definition, muted complexion, blurred lips."
"Smoky / Soft Diffused","Soft diffused smoky eye, hazy neutral shadow around the eyes, gentle lashes, fresh skin, understated lips."
"Smoky / Winged","Wing-shaped smoky eye, shadow pulled upward toward the temples, defined lash line, sculpted cheeks, refined nude lips."
"Liner / Classic Wing","Classic black winged eyeliner, clean thin inner line, gradually thickened outer corner, precise pointed flick."
"Liner / Fox Eye","Fox-eye liner, elongated inner-corner point, lifted outer wing, softly extended shadow, sharpened eye shape."
"Liner / Siren Eye","Siren-eye makeup, dark elongated inner and outer corners, smoked lash line, lifted narrow eye shape, restrained lips."
"Liner / Puppy Eye","Puppy-eye liner, outer line angled gently downward, rounded eye emphasis, soft lower-lash definition."
"Liner / Graphic Floating","Graphic floating eyeliner, clean curved line above the crease, precise negative space, modern editorial finish."
"Liner / Double Wing","Double-wing eyeliner, parallel sharp outer flicks, clean spacing, high-contrast graphic precision."
"Liner / Reverse","Reverse eyeliner, strongest definition along the lower lash line, extended outward shape, minimal upper liner."
"Liner / Smudged","Softly smudged eyeliner, diffused charcoal-brown lash line, imperfect lived-in edges, subtle lower-eye definition."
"Liner / White Graphic","Crisp white graphic eyeliner, bold clean shapes around the eyes, minimal contrasting complexion makeup."
"Liner / Colour Pop","Bright colour-pop eyeliner, precise saturated wing, otherwise restrained neutral makeup, fresh glossy lips."
"Liner / Cut Crease","Defined cut-crease makeup, sharply carved crease line, smooth contrasting lid colour, precise wing and full lashes."
"Liner / Bat Wing","Bat-wing eyeliner adapted to the eyelid fold, angular lifted outer shape, clean black graphic finish."
"Liner / Inner Corner","Extended inner-corner eyeliner, sharp fine points, clean lash-line definition, elongated eye shape."
"Liner / Soft Brown Wing","Soft brown winged liner, blurred outer flick, subtle lash definition, natural wearable finish."
"Liner / Editorial Angles","Angular editorial liner, asymmetrical geometric strokes, sharp negative space, high-fashion precision."
"Lip / Classic Red","Classic red lip makeup, precisely defined cupid's bow, smooth opaque colour, balanced clean complexion and eyes."
"Lip / Blue Red","Cool blue-red statement lips, crisp symmetrical edges, satin opaque finish, restrained eye makeup."
"Lip / Orange Red","Warm orange-red statement lips, clean sculpted outline, bright satin finish, fresh minimal complexion."
"Lip / Deep Berry","Deep berry lips, precise rich pigment, softly sculpted cheeks, understated eye definition."
"Lip / Burgundy","Burgundy lip makeup, deep wine-toned opaque colour, crisp shape, softly balanced complexion."
"Lip / Chocolate Brown","Chocolate-brown statement lips, smooth defined edges, rich satin finish, neutral eye makeup."
"Lip / Black","Bold black lipstick, sharply defined shape, opaque matte finish, clean restrained surrounding makeup."
"Lip / Glossy Nude","High-shine nude lips, softly lined shape, dimensional centre gloss, polished natural complexion."
"Lip / Ombré","Ombré lips, deeper defined perimeter fading into a lighter centre, smooth blended gradient, glossy dimensional finish."
"Lip / Gradient","Soft gradient lip tint, concentrated colour at the inner lips fading outward, blurred youthful finish."
"Lip / Blurred","Blurred-edge lipstick, diffused velvety pigment, softly faded perimeter, modern effortless finish."
"Lip / Vinyl","Vinyl lip finish, ultra-glossy saturated colour, crisp sculpted edges, reflective lacquered surface."
"Lip / Metallic","Metallic lipstick, smooth reflective pigment, sharply defined lip shape, editorial high-shine finish."
"Lip / Two Tone","Two-tone lip design, carefully divided complementary shades, clean creative contrast, precise edges."
"Lip / Cherry Stain","Fresh cherry lip stain, translucent red colour, softly blurred edges, juicy natural finish."
"Lip / Mauve Nude","Mauve-nude lips, softly sculpted liner, satin creamy colour, balanced sophisticated finish."
"Lip / Peach Nude","Peach-nude lips, subtle definition, smooth satin finish, warm fresh complexion."
"Lip / Overlined Nude","Tastefully overlined nude lips, softly blended liner, fuller sculpted shape, glossy centre highlight."
"Goth / Classic","Classic gothic makeup, pale matte complexion, dark smoky eyes, sharply defined brows, deep blackened lips."
"Goth / Romantic","Romantic gothic makeup, softly pale complexion, burgundy-plum eyes, delicate dark lashes, deep wine lips."
"Goth / Soft","Soft goth makeup, cool muted complexion, diffused charcoal eyes, subtle contour, blurred dark berry lips."
"Goth / Victorian","Victorian-gothic makeup, porcelain matte skin, shadowed eyes, refined brows, deep muted crimson lips."
"Goth / Vampiric","Vampiric makeup, pale luminous skin, deep red-black eye shading, sharpened contour, glossy blood-red lips."
"Goth / Cyber","Cyber-goth makeup, high-contrast graphic liner, dark metallic eye accents, cool sculpted complexion, black glossy lips."
"Goth / Pastel","Pastel goth makeup, pale lavender and pink eyes, sharp black liner, cool blush, contrasting dark lips."
"Punk / Smudged","Punk makeup, aggressively smudged black liner, heavy lower-eye definition, deliberately imperfect skin finish, dark blurred lips."
"Punk / Graphic","Graphic punk makeup, sharp black angular eye shapes, strong brows, minimal cheek colour, bold dark lips."
"Grunge / 1990s","1990s grunge makeup, brown-grey smudged eyes, matte natural complexion, thinly defined brows, muted brown lips."
"Grunge / Soft","Soft grunge makeup, hazy taupe eyes, slightly lived-in liner, muted blush, blurred brown-rose lips."
"Emo / Classic","Classic emo makeup, heavy black liner around the eyes, dark lower lash line, pale complexion, muted nude lips."
"Scene / Colourful","Scene-inspired makeup, bold black liner, bright contrasting eye colour, defined brows, glossy pale lips."
"Alternative / Star Accents","Alternative makeup with tiny star accents around the eyes, graphic liner, muted blush, glossy coordinated lips."
"Alternative / Tear Accents","Artistic tear-shaped makeup accents beneath the eyes, precise liner, clean complexion, restrained lips."
"Alternative / Pierrot Inspired","Pierrot-inspired makeup, pale complexion, delicate dark eye points, softly arched brows, small defined lips."
"Editorial / Bare Skin Bold Eye","Natural visible skin texture paired with a single bold graphic eye treatment, minimal cheeks and lips."
"Editorial / Colour Blocking","Editorial colour-block eye makeup, sharply separated saturated shapes, clean edges, restrained complexion and lips."
"Editorial / Negative Space","Negative-space eye makeup, precise graphic pigment surrounding clean bare sections, modern high-fashion finish."
"Editorial / Painterly","Painterly editorial makeup, expressive blended pigment strokes around the eyes and cheeks, intentionally artistic texture."
"Editorial / Metallic Foil","Metallic foil eye makeup, reflective fragmented texture across the lids, clean luminous complexion, neutral lips."
"Editorial / Glossy Lids","High-gloss eyelids, transparent wet shine over subtle pigment, luminous complexion, understated lips."
"Editorial / Rhinestone Accents","Editorial makeup with carefully placed rhinestone accents around the eyes, precise liner, polished luminous skin."
"Editorial / Pearl Accents","Pearl-accent eye makeup, delicate dimensional pearls placed around the lids, soft luminous complexion."
"Editorial / Asymmetrical","Asymmetrical editorial makeup, intentionally different graphic eye designs on each side, clean balanced complexion."
"Editorial / Neon","Neon editorial eye makeup, intensely saturated fluorescent shapes, crisp edges, minimal neutral complexion."
"Editorial / Watercolour","Watercolour eye makeup, translucent diffused washes of colour, soft overlapping edges, fresh natural skin."
"Editorial / Chrome","Chrome eye makeup, mirror-like metallic lids, sharp reflective highlights, sculpted minimalist complexion."
"Editorial / Futuristic","Futuristic makeup, precise metallic lines, cool luminous skin, graphic eye structure, sleek neutral lips."
"Editorial / Avant-Garde Blush","Avant-garde blush placement extending from cheeks toward temples, clean eye definition, softly balanced lips."
"Editorial / Draping","Blush draping makeup, coordinated colour sweeping from cheeks into the temples and eye area, seamless sculpted gradient."
"Editorial / Mask Shape","Graphic mask-shaped eye makeup, bold symmetrical pigment spanning across the eye area, crisp high-fashion edges."
"Editorial / Ink Strokes","Black ink-stroke makeup around the eyes, expressive sharp brush-like marks, minimal complexion and lips."
"Editorial / Feathered Brows","Strong editorial feathered brows, individually defined upward strokes, clean luminous skin, restrained eyes and lips."
"Fantasy / Fairy","Fairy-inspired makeup, iridescent pastel eyes, luminous highlighted skin, delicate sparkling accents, glossy ethereal lips."
"Fantasy / Elven","Elegant elven-inspired makeup, softly elongated eyes, luminous skin, delicate metallic accents, refined natural lips."
"Fantasy / Mermaid","Mermaid-inspired makeup, aquatic blue-green shimmer, iridescent highlights, pearlescent accents, glossy dimensional lips."
"Fantasy / Siren","Dark siren makeup, deep sea-toned smoky eyes, wet luminous skin, sharp contour, glossy dark berry lips."
"Fantasy / Celestial","Celestial makeup, midnight blue and silver eyes, tiny star-like accents, radiant highlight, glossy cool-toned lips."
"Fantasy / Moonlight","Moonlit makeup, cool silver-lavender eyes, pale luminous highlight, delicate shimmer, muted glossy lips."
"Fantasy / Solar","Solar-inspired makeup, molten gold and amber eyes, radiant warm highlight, bronzed cheeks, luminous golden-nude lips."
"Fantasy / Fire","Fire-inspired makeup, blended red-orange-gold eyes, glowing cheek highlights, sharp liner, warm glossy lips."
"Fantasy / Ice","Ice-inspired makeup, pale blue and silver eyes, crystalline highlight, cool sculpted complexion, frosted glossy lips."
"Fantasy / Forest","Forest-inspired makeup, moss and olive eyes, earthy contour, subtle gold accents, muted natural lips."
"Fantasy / Witch","Elegant witch-inspired makeup, smoky plum-black eyes, softly pale complexion, defined brows, deep wine lips."
"Fantasy / Sorceress","Sorceress makeup, jewel-toned smoky eyes, metallic inner highlights, sculpted luminous skin, dark glossy lips."
"Fantasy / Dragon","Dragon-inspired makeup, scaled metallic accents around the eyes, sharp elongated liner, glowing high points, bold lips."
"Fantasy / Angelic","Angelic makeup, pearly luminous complexion, soft gold-white eyes, delicate lashes, glowing blush, sheer glossy lips."
"Fantasy / Demon","Demonic fantasy makeup, deep red-black eye structure, severe contour, darkened lips, precise supernatural accents."
"Fantasy / Dryad","Dryad-inspired makeup, earthy green-brown eyes, organic vine-like accents, warm natural skin, muted lips."
"Fantasy / Butterfly","Butterfly-inspired eye makeup, symmetrical wing-like colour shapes, delicate liner details, luminous clean complexion."
"Fantasy / Galaxy","Galaxy makeup, blended deep blue-purple eyes, scattered star-like shimmer, cosmic highlight, glossy violet lips."
"Fantasy / Crystal","Crystal-inspired makeup, prismatic reflective accents, icy luminous skin, sharp sparkling eye details, glassy lips."
"Fantasy / Phoenix","Phoenix-inspired makeup, sweeping red-gold eye shapes, fiery metallic accents, radiant cheeks, bold warm lips."
"Vintage / 1920s","1920s-inspired makeup, softly smoky rounded eyes, thin arched brows, pale matte complexion, small deep cupid's-bow lips."
"Vintage / 1930s","1930s-inspired makeup, fine curved brows, softly shaded eyes, subtle rouge, precisely shaped dark red lips."
"Vintage / 1940s","1940s-inspired makeup, clean matte complexion, softly defined eyes, structured brows, classic victory-red lips."
"Vintage / 1950s","1950s-inspired makeup, flawless satin skin, crisp winged liner, defined brows, polished red lips."
"Vintage / 1960s Mod","1960s mod makeup, graphic crease line, pale lids, bold upper and lower lashes, softly nude lips."
"Vintage / 1970s","1970s-inspired makeup, warm bronzed complexion, earthy softly smoked eyes, natural brows, glossy nude lips."
"Vintage / 1980s","1980s-inspired makeup, bold colourful eyeshadow, strong blush swept toward the temples, defined brows, vivid lips."
"Vintage / 1990s","1990s-inspired makeup, matte complexion, thin softly arched brows, brown lip liner, muted nude-brown lipstick."
"Vintage / Y2K","Y2K-inspired makeup, frosted pastel lids, thin defined brows, bright inner corners, high-shine pale gloss."
"Vintage / Old Hollywood","Old-Hollywood makeup, porcelain satin complexion, softly sculpted eyes, elegant liner, arched brows, classic red lips."
"Seasonal / Spring","Fresh spring makeup, pastel eye accents, delicate pink-peach blush, luminous complexion, sheer floral-toned lips."
"Seasonal / Summer","Summer makeup, bronzed glowing skin, warm coral blush, lightly defined eyes, glossy sunlit lips."
"Seasonal / Autumn","Autumn makeup, copper-brown eyes, warm terracotta blush, softly bronzed skin, rich cinnamon-toned lips."
"Seasonal / Winter","Winter makeup, cool luminous complexion, grey-plum eye definition, crisp lashes, deep berry lips."
"Festival / Glitter","Festival makeup, layered glitter around the eyes, colourful liner accents, luminous highlighted skin, glossy lips."
"Festival / Neon","Neon festival makeup, fluorescent eye accents, graphic colour placement, radiant skin, high-shine lips."
"Festival / Gem","Festival gem makeup, symmetrical face gems around the eyes, sparkling lids, luminous cheeks, glossy neutral lips."
"Party / Disco","Disco makeup, reflective silver-gold eyelids, bold lashes, glowing cheekbones, glossy statement lips."
"Party / Club","Club makeup, long-wear matte complexion, dark lifted eyes, sharp highlight, defined glossy lips."
"Party / New Year","New-Year glamour, sparkling metallic eyes, luminous complexion, dramatic lashes, high-shine lips."
"Photography / Flash Ready","Flash-ready makeup, controlled satin complexion, carefully balanced highlight, defined eyes, sculpted cheeks, polished lips."
"Photography / Black and White","Makeup designed for black-and-white photography, strong tonal contrast, defined brows and lashes, sculpted cheeks, clearly shaped lips."
"Stage / Theatre","Stage makeup with enhanced facial definition, strong brows, clear eye contour, visible cheek sculpting, durable saturated lips."
"Stage / Pop Star","Pop-star stage makeup, luminous long-wear complexion, sparkling eyes, bold lashes, defined cheeks, glossy statement lips."
"Formal / Elegant","Elegant formal makeup, refined satin skin, softly lifted neutral eyes, polished brows, gentle blush, sophisticated lips."
"Formal / Gala","High-impact gala makeup, flawless sculpted complexion, dimensional eye shimmer, dramatic lashes, luxurious defined lips."
"Mood / Dreamy","Dreamy makeup, diffused pastel eyes, soft-focus luminous skin, hazy blush, glossy translucent lips."
"Mood / Moody","Moody makeup, desaturated smoky eyes, cool sculpted complexion, muted cheek colour, deep blurred lips."
"Mood / Ethereal","Ethereal makeup, pearlescent luminous skin, delicate iridescent eyes, soft glowing cheeks, translucent glossy lips."
"Mood / Cinematic","Cinematic makeup, realistic perfected skin, strategically deepened eyes, subtle cheek sculpting, controlled natural lips."
