name,prompt,negative_prompt,category,weight,favorite
Tight Latex Shine,"full body studio shot of woman in glossy black latex catsuit, zipper pulled down to navel, wet look finish, spotlight creating reflections on curves, hair sleek and back, fierce expression","low quality...",General,1,
Doorway Frame Lean,"woman leaning sideways in open doorway frame, wearing slip dress with slit up to hip, one hand gripping door jamb, leg bent at knee pressing against frame, soft hallway lighting behind her","low quality...",Standing,1,
Couch Throw Blanket,"model wrapped loosely in chunky knit throw blanket on sofa, only one eye and shoulder visible peeking out, wearing fuzzy socks, holding mug of tea, cozy sensual vibe, fireplace glow background","low quality...",Sitting/Kneeling,1,
Kneeling Towel Dry,"woman kneeling on bathroom tiles after shower, wrapped in fluffy white towel around chest, water droplets on skin, hands holding ends of towel, looking down with modest shy expression, steamy mirror reflection","low quality...",Kneeling/Crawling,1,
Bathtub Edge Drip,"sitting on edge of clawfoot tub, legs dangling inside water, wearing black lace bra soaked through clinging to nipples, panties pulled to one side dripping onto tiles, hair pinned up loosely","low quality...",Lying/Supine,1,
Garage Door Light,"woman standing in garage with large door open behind her creating silhouette, backlit by street light, wearing mesh top and high waist shorts, leaning against workbench, gritty urban texture background","low quality...",Lighting/Environment,1,
Braided Hair Tease,"close up of woman braiding her own hair while looking in mirror, wearing sheer robe over lace set, back exposed from angle, one strap slipping down shoulder, soft focus romantic aesthetic","low quality...",Exposed/Teasing,1,
Cable Masturbation,"woman lying on bed with legs hooked around bedpost, wearing lacy bodysuit unzipped at front, hand sliding up thigh inside bodysuit, hips arching slightly off mattress, eyes fluttering shut","low quality...",Masturbation,1,
Dance Partner Spin,"woman spinning in partner's arms in dimly lit ballroom, wearing flowing silk dress that flares out, hands gripping partner's shoulders, hair flying, expression of ecstasy and movement blur effect","low quality...",Sexual/Partnered,1,
Neon Sign Reflection,"standing near neon cafe sign casting pink glow on face and body, wearing leather jacket open over bralette, hands in pockets leaning casually, rain slick street background, cinematic mood","low quality...",Lighting/Environment,1,
Sweat Gym Bandana,"woman sitting on gym mat wiping sweat from brow with wristband, wearing sports bra and leggings hugging curves, dripping moisture, messy bun hair, intense focus look, locker room setting","low quality...",General,1,
Staircase Descent,"walking down wooden staircase, holding banister with one hand, other hand resting on hip, wearing form fitting dress that shows leg movement, looking up over shoulder, warm tungsten light above","low quality...",Standing,1,
Window Seat Book,"sitting in deep window seat with knees drawn up, wearing oversized cardigan and panties underneath, reading book but looking up over pages with teasing smile, sunlight streaming in dust motes","low quality...",Sitting/Kneeling,1,
Crawling Under Table,"crawling on hands and knees under low dining table, wearing short skirt that rides high, looking out from under table at camera, head tilted, playful seductive expression, candlelight flickering","low quality...",Kneeling/Crawling,1,
Bed Frame Cling,"standing close to wrought iron bed frame, one leg hooked around bars, wearing silk nightgown clinging wet look, hands gripping bars above head, body arched back slightly, moody shadowy light","low quality...",Prone/Bending,1,
Lap Lap Pillow,"model lying across partner's lap facing camera, partner rubbing feet, wearing loose shorts pulled down to hips and bralette, hair spread on lap, peaceful intimate moment, bedroom door ajar soft light","low quality...",Sexual/Partnered,1,
Finger Lash Tease,"close up of woman using index finger to gently pull lower eyelid down while looking at camera, seductive half smile, wearing smoky eye makeup and glossy lips, skin pore detail visible macro style","low quality...",General,1,
Hammock Swing Pose,"lying in hammock with one leg hanging down and other bent, wearing crochet bikini coverup open showing lace bra underneath, holding drink glass dangling from hand, beach hut background blurred","low quality...",Lying/Supine,1,
Bike Handlebar Lean,"leaning forward over bike handlebars wearing tight cycling kit, chest compressed slightly by position, hands gripping bars, looking back over shoulder with flushed face, asphalt road background motion blur","low quality...",Standing,1,
Chaise Lounge Recline,"reclining on vintage chaise lounge sideways, one arm dangling off edge, wearing red lingerie set, legs crossed at ankles elevated, holding fan partially covering face, dramatic velvet backdrop","low quality...",Lying/Supine,1,
Doorframe Twist,"twisting body in doorway with back to camera, looking over shoulder to wink, wearing high slit dress hugging hips and waist, one hand adjusting strap, golden hour light washing out background slightly","low quality...",Standing,1,
Sheet Pull Masturbation,"lying on stomach pulling sheer sheet up over hips with both hands, lace panties visible underneath wet fabric, face turned into pillow with ear showing, sensual shadow play on walls","low quality...",Masturbation,1,
Rope Swing Garden,"sitting on rope swing in garden holding chains at waist level, wearing sundress lifted slightly showing leg and garter, kicking legs out playfully, sunlight filtering through leaves dappled skin","low quality...",Sitting/Kneeling,1,
Bench Stretch Arms,"sitting on park bench stretching arms straight behind leaning forward back arched, wearing tank top and shorts accentuating torso curves, sweat glistening, hair tied back looking at camera casually","low quality...",Prone/Bending,1,
Ladder Lean Back,"standing sideways against wooden ladder leaning back hips, wearing overalls unbuttoned low revealing lace bralette inside, holding rung with hands, sun flare hitting lens creating dreamy haze effect","low quality...",Standing,1,
Floor Stretch Legs,"lying on floor doing splits stretching forward touching toes, wearing tight bodysuit highlighting inner thighs and waist, arms extended reaching, looking up at ceiling camera above capturing full body pose","low quality...",Prone/Bending,1,
Towel Wrap Twist,"twisting towel around torso in steamy bathroom, wearing only panties underneath wet hair wrapped in secondary towel, mirror fogged with hand writing, soft diffused light from shower door","low quality...",General,1,
Car Seat Belt Pull,"sitting in car driver seat pulling seatbelt across chest slowly, wearing silk camisole clinging to curves, one leg crossed over other, hands adjusting buckle looking at passenger side camera","low quality...",Sitting/Kneeling,1,
Fence Lean Legs,"leaning back against chain link fence with feet planted wide, holding onto wire mesh at hips, wearing lace bra and short skirt, background industrial texture soft focus, sunlight creating grid shadows on body","low quality...",Standing,1,
Stool High Hip,"sitting on high bar stool with one leg dropped down hip cocked up, wearing sequin mini dress shimmering, hands resting on thighs biting lip, neon bar lights bokeh background vibrant colors","low quality...",Sitting/Kneeling,1,
Curtain Pull Glimpse,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath, wearing lace teddy translucent against light, silhouette effect soft romantic interior light, eye peering out teasingly","low quality...",Exposed/Teasing,1,
Finger Hair Toss,"hand tossing hair over shoulder looking back at camera, wearing low cut sweater showing cleavage, skin smooth glistening, warm amber lighting creating depth, blurred garden background lush green tones","low quality...",General,1,
Masturbation Thigh Squeeze,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line, wearing lacy bralette and panties twisted to one side, eyes closed in pleasure expression, sheet rumpled below","low quality...",Masturbation,1,
Partner Forehead Rest,"woman lying back head resting on partner's chest, partner's arm wrapped protectively around her, she looks up with adoring soft gaze, wearing silk robe open showing strap of lace bra, candlelight glow","low quality...",Sexual/Partnered,1,
Rooftop Wind Blow,"standing on rooftop edge facing wind, hair whipping across face and body, wearing flowing white dress clinging to curves, arms spread slightly for balance, sunset purple orange sky background cinematic wide shot","low quality...",Standing,1,
Lap Kiss Tease,"sitting cross legged on couch partner kneeling before kissing inner thigh, she leans back hands gripping cushion above head, eyes half closed blissful expression, wearing shorts pulled up and no bra showing lace top","low quality...",Sexual/Partnered,1,
Chandelier Light Rim,"standing under ornate chandelier with light shining down creating starburst flare over head, wearing velvet corset dress with deep neckline, hands clasped demurely but dress hugging every curve, warm gold tones","low quality...",Lighting/Environment,1,
Knee Deep Water,"wading in knee deep ocean water at dusk, skirt clinging wet and translucent showing silhouette, arms pulling skirt sides up slightly, looking at horizon then back to camera with misty eyes, wind blowing hair","low quality...",Standing,1,
Candlelight Reading,"sitting in armchair reading paperback book by single candlelight on side table, wearing soft knit sweater slipping off shoulder, lips parted slightly while turning page, cozy intimate atmosphere shadows dancing walls","low quality...",Sitting/Kneeling,1,
Barefoot Stretch Floor,"barefoot stretching arms high standing legs apart toes pointed, wearing tight yoga set highlighting curves, sweat beads on forehead, bright airy studio light with large window soft white backdrop","low quality...",Prone/Bending,1,
Hammock Swing Kiss,"partner kissing collarbone while woman lies in hammock holding sides of mesh, she wears sheer robe falling open revealing lingerie, eyes closed smiling softly, garden dappled light background peaceful sensual mood","low quality...",Sexual/Partnered,1,
Wet Paint Brush Tease,"artist sitting on stool covered in splatters wearing white t-shirt wet and clinging nipples visible, holding paintbrush near lips biting it thoughtfully, apron tied low, studio canvas background colorful blur","low quality...",General,1,
Stairwell Spiral,"standing on spiral staircase wrapping arm around central pole legs crossed at ankles, wearing form fitting dress hugging waist and hips, looking up with chin lifted confident pose, dramatic shadows vertical lines","low quality...",Standing,1,
Lap Lap Feet Rub,"sitting with partner rubbing feet while she rests calves on his lap, wearing open robe revealing lace bra and panties, legs crossed elegantly hands holding glass of wine, fireplace glow romantic evening setting","low quality...",Sexual/Partnered,1,
Thigh High Zipper,"close up of zipping up black thigh high stockings slowly fingers working zipper tab upward, leg extended showing curve of calf and knee, wearing lace garter belt attached, soft focus intimate mood macro details","low quality...",Exposed/Teasing,1,
Masturbation Pillow Bite,"lying on bed hugging pillow biting corner of it eyes peeking over top seductively, wearing oversized shirt untucked revealing hip lace edge, sheets twisted around legs, moonlight window casting blue tones","low quality...",Masturbation,1,
Doorway Silhouette Twist,"twisting body in doorway frame creating silhouette shape against bright hallway light behind, arms bent hands framing face, wearing tight dress outlining curves perfectly, dramatic contrast high style fashion shot","low quality...",Lighting/Environment,1,
Couch Knee Raise,"kneeling on couch one knee raised up holding it with hand thigh stretching towards camera, wearing short skirt riding high lace thong visible between legs, torso straight looking forward intense gaze","low quality...",Sitting/Kneeling,1,
Partner Back Massage,"woman lying face down on partner's lap receiving back massage his hands kneading shoulders she leans forward resting forehead on arms, wearing tank top hugging sides, relaxed blissful expression soft lighting bedroom","low quality...",Sexual/Partnered,1,
Wet Hair Squeeze,"standing under rain wetting hair squeezing water out with hands looking down then up at camera, wearing dark clothes soaked clinging to skin droplets running face and body, stormy grey sky background moody atmosphere","low quality...",General,1,
Lap Lap Hair Brush,"sitting partner sitting behind brushing her long hair gently she leans head back resting on chest eyes closed content smile, wearing silk pajama set open at collar, warm lamplight intimate bedroom quiet moment","low quality...",Sexual/Partnered,1,
Finger Lip Trace,"index finger tracing lower lip slowly looking through lashes seductive half smile, wearing glossy lips defined cheekbones skin flawless macro beauty shot focus on face and hand gesture shallow depth background blur","low quality...",General,1,
Straddle Lap Partner Facing,"sitting straddling partner's lap facing him leaning forward kissing shoulder he holds waist she looks at camera over shoulder biting lip, wearing lace chemise slipping off arms, dimly lit room romantic atmosphere passion intensity","low quality...",Sexual/Partnered,1,
Bend Over Counter Hands,"bending forward resting hands on kitchen counter hips pushed back straight back wearing short skirt riding high showing lace thong looking back over shoulder smirk playful provocative pose warm evening kitchen light","low quality...",Prone/Bending,1,
Thigh Masturbation Garter,"lying on side leg bent pulling down garter belt strap hand inside stocking stroking upper thigh wearing lacy teddy unzipped head tossed back expression ecstasy sheet rumpled soft diffuse lighting sensual mood","low quality...",Masturbation,1,
Mirror Bend Kiss,"standing in front of full length mirror bending forward kissing own reflection collarbone she holds dress skirt open showing lingerie arms wrapped around self body curves highlighted intimate private moment bedroom vanity light","low quality...",General,1,
Partner Ear Whisper,"whispering in partner's ear leaning close lips near earlobe she tilts head back giving access he smiles against skin wearing low cut top showing cleavage hands gripping his shoulders passionate gaze camera focus soft background","low quality...",Sexual/Partnered,1,
Wet Bikini Pull String,"adjusting string of wet bikini bottom hip cocked hand pulling knot tight water droplets running down thigh sun glistening skin beach background blurred vibrant colors playful confident pose summer vibes sensual style","low quality...",Standing,1,
Curtain Fold Tease,"standing behind sheer curtains folding fabric around body obscuring half face peering out through gap wearing slip dress translucent light streaming creating soft romantic glow hand holding fabric taut hip line visible","low quality...",Exposed/Teasing,1,
Masturbation Sheet Pull Up,"lying on stomach pulling sheer sheet up over hips slowly revealing lace panties underneath wet fabric clinging hands gripping edges head turned to side looking back at camera with half closed eyes bed messy atmosphere","low quality...",Masturbation,1,
Lap Lap Feet Cross,"sitting legs crossed partner leaning forward kissing top foot she smiles looking down at him wearing open robe exposing one shoulder and lace bra legs relaxed elegant pose cozy indoor lighting intimate romantic setting","low quality...",Sexual/Partnered,1,
Sweat Gym Stretch,"sitting on gym mat stretching arms wide back arched chest forward wearing sports bra hugging breasts leggings showing curves sweat glistening face flushed intense focus look bright airy studio light energetic sensual vibe","low quality...",General,1,
Staircase Descent Skirt,"walking down stairs one step lower than previous holding banister skirt flaring slightly revealing leg movement looking up over shoulder confident smile warm tungsten light above background architectural lines elegant poised pose","low quality...",Standing,1,
Window Seat Book Spread,"sitting in window seat knees spread book open on lap wearing cardigan slipping off arms biting page corner looking up mischievous grin sunlight streaming dust motes floating cozy romantic atmosphere soft focus background","low quality...",Sitting/Kneeling,1,
Crawling Carpet Gaze,"crawling towards camera on hands and knees wearing fishnet stockings lace garter belt camisole riding up back arched hair cascading forward eyes locked with viewer predatory seductive expression dim room rug texture visible","low quality...",Kneeling/Crawling,1,
Bed Frame Cling Arch,"standing close to bed frame one leg hooked around bars leaning back chest out hands gripping wood above head body arched seductively wearing silk nightgown clinging wet effect moody shadows dramatic lighting intense gaze","low quality...",Prone/Bending,1,
Lap Lap Foot Rub Kiss,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection","low quality...",Sexual/Partnered,1,
Finger Lash Pull Closeup,"using finger to pull lower eyelid down slightly looking directly into lens seductive half smirk smoky eye makeup glossy lips macro skin detail visible moody dark background with single light source rim lighting face","low quality...",General,1,
Hammock Swing Dangle,"lying in hammock one leg hanging other bent holding drink glass dangling from hand wearing crochet coverup open showing bra underneath beach hut background dappled sunlight swinging gently relaxed seductive vibe tropical setting","low quality...",Lying/Supine,1,
Bike Handlebar Lean Back,"leaning forward over bike handlebars wearing tight cycling kit chest compressed slightly hands gripping bars looking back over shoulder flushed face motion blur road background athletic sensual pose sunset lighting golden hour glow","low quality...",Standing,1,
Chaise Lounge Recline Side,"reclining on vintage chaise lounge sideways one arm dangling off edge wearing red lingerie set legs crossed at ankles elevated holding fan partially covering face dramatic velvet backdrop warm studio light theatrical mood","low quality...",Lying/Supine,1,
Doorframe Twist Back,"twisting body in doorway back to camera looking over shoulder with wink wearing high slit dress hugging hips waist one hand adjusting strap golden hour light washing background slightly fashion style provocative pose","low quality...",Standing,1,
Floor Stretch Splits,"lying on floor doing full splits stretching forward touching toes wearing tight bodysuit highlighting inner thighs waist arms extended reaching looking up at ceiling camera above capturing full body pose bright airy aesthetic","low quality...",Prone/Bending,1,
Towel Wrap Twist Steamy,"twisting towel around torso in steamy bathroom wearing panties underneath wet hair wrapped secondary towel mirror fogged with hand writing soft diffused light from shower door sensual intimate mood vapor atmosphere","low quality...",General,1,
Car Seat Belt Pull Slow,"sitting in car driver seat pulling seatbelt across chest slowly wearing silk camisole clinging to curves one leg crossed over other hands adjusting buckle looking at passenger side camera cinematic interior lighting moody vibe","low quality...",Sitting/Kneeling,1,
Fence Lean Mesh Grip,"leaning back against chain link fence feet planted wide holding wire mesh at hips wearing lace bralette short skirt background industrial texture soft focus sunlight creating grid shadows on body gritty urban style provocative","low quality...",Standing,1,
Stool High Hip Cocked,"sitting on high bar stool one leg dropped down hip cocked up wearing sequin mini dress shimmering hands resting on thighs biting lip neon bar lights bokeh background vibrant colors bold confident pose nightlife vibe","low quality...",Sitting/Kneeling,1,
Curtain Pull Glimpse One Eye,"standing behind sheer curtain pulling fabric to side with hand revealing body underneath wearing lace teddy translucent against light silhouette effect soft romantic interior light eye peering out teasingly mysterious seductive mood","low quality...",Exposed/Teasing,1,
Hair Toss Over Shoulder,"hand tossing hair over shoulder looking back at camera wearing low cut sweater showing cleavage skin smooth glistening warm amber lighting creating depth blurred garden background lush green tones elegant sensual portrait vibe","low quality...",General,1,
Thigh Squeeze Stocking Line,"lying on side hugging knee to chest with hand squeezing inner thigh above stocking line wearing lacy bralette panties twisted to one side eyes closed in pleasure expression sheet rumpled soft diffuse lighting mood","low quality...",Masturbation,1,
Partner Forehead Rest Adore,"woman lying back head resting on partner's chest partner's arm wrapped protectively around her she looks up with adoring soft gaze wearing silk robe open showing strap of lace bra candlelight glow peaceful intimate mood","low quality...",Sexual/Partnered,1,
Rooftop Wind Blow Wide,"standing on rooftop edge facing wind hair whipping across face and body wearing flowing white dress clinging to curves arms spread slightly for balance sunset purple orange sky background cinematic wide shot dramatic atmosphere","low quality...",Standing,1,
Mirror Floor Double,"lying on bathroom floor looking up into handheld mirror reflecting face and cleavage below visible legs bent relaxed tiled floor reflection double exposure effect artistic sensual mood","low quality...",General,1,
Lap Kiss Thigh Intimate,"sitting cross legged on couch partner kneeling before kissing inner thigh she leans back hands gripping cushion above head eyes half closed blissful expression wearing shorts pulled up and no bra showing lace top warm light","low quality...",Sexual/Partnered,1,
Chandelier Starburst Flare,"standing under ornate chandelier with light shining down creating starburst flare over head wearing velvet corset dress deep neckline hands clasped demurely but dress hugging every curve warm gold tones elegant regal mood","low quality...",Lighting/Environment,1,
Knee Deep Ocean Dusk,"wading in knee deep ocean water at dusk skirt clinging wet and translucent showing silhouette arms pulling skirt sides up slightly looking at horizon then back to camera with misty eyes wind blowing hair dramatic backdrop","low quality...",Standing,1,
Armchair Candle Reading,"sitting in armchair reading paperback book by single candlelight on side table wearing soft knit sweater slipping off shoulder lips parted slightly while turning page cozy intimate atmosphere shadows dancing walls romantic quiet mood","low quality...",Sitting/Kneeling,1,
Barefoot Stretch Yoga,"barefoot stretching arms high standing legs apart toes pointed wearing tight yoga set highlighting curves sweat beads on forehead bright airy studio light with large window soft white backdrop energetic sensual fitness vibe","low quality...",Prone/Bending,1,
Hammock Kiss Collbone,"partner kissing collarbone while woman lies in hammock holding sides of mesh she wears sheer robe falling open revealing lingerie eyes closed smiling softly garden dappled light background peaceful sensual mood romantic connection","low quality...",Sexual/Partnered,1,
Wet Paint Artist Closeup,"artist sitting on stool covered in splatters wearing white t-shirt wet and clinging nipples visible holding paintbrush near lips biting it thoughtfully apron tied low studio canvas background colorful blur creative sensual portrait","low quality...",General,1,
Spiral Staircase Pose,"standing on spiral staircase wrapping arm around central pole legs crossed at ankles wearing form fitting dress hugging waist and hips looking up with chin lifted confident pose dramatic shadows vertical lines architectural style","low quality...",Standing,1,
Feet Rub Rom Com,"sitting partner sitting behind brushing her long hair gently she leans head back resting on chest eyes closed content smile wearing silk pajama set open at collar warm lamplight intimate bedroom quiet moment cozy vibe","low quality...",Sexual/Partnered,1,
Lip Trace Finger Macro,"index finger tracing lower lip slowly looking through lashes seductive half smile wearing glossy lips defined cheekbones skin flawless macro beauty shot focus on face and hand gesture shallow depth background blur high end style","low quality...",General,1,
Straddle Lap Kiss Should,"sitting straddling partner's lap facing him leaning forward kissing shoulder he holds waist she looks at camera over shoulder biting lip wearing lace chemise slipping off arms dimly lit room romantic atmosphere passion intensity","low quality...",Sexual/Partnered,1,
Bend Over Counter Playful,"bending forward resting hands on kitchen counter hips pushed back straight back wearing short skirt riding high showing lace thong looking back over shoulder smirk playful provocative pose warm evening kitchen light candid mood","low quality...",Prone/Bending,1,
Garter Pull Thigh Stroke,"lying on side leg bent pulling down garter belt strap hand inside stocking stroking upper thigh wearing lacy teddy unzipped head tossed back expression ecstasy sheet rumpled soft diffuse lighting sensual mood intimate detail","low quality...",Masturbation,1,
Mirror Kiss Clavicle,"standing in front of full length mirror bending forward kissing own reflection collarbone she holds dress skirt open showing lingerie arms wrapped around self body curves highlighted intimate private moment bedroom vanity light artistic style","low quality...",General,1,
Ear Whisper Passion,"whispering in partner's ear leaning close lips near earlobe she tilts head back giving access he smiles against skin wearing low cut top showing cleavage hands gripping his shoulders passionate gaze camera focus soft background","low quality...",Sexual/Partnered,1,
Wet Rain Squeeze Hands,"standing under rain wetting hair squeezing water out with hands looking down then up at camera wearing dark clothes soaked clinging to skin droplets running face and body stormy grey sky background moody atmosphere cinematic","low quality...",General,1,
Foot Kiss Shy Smile,"partner kissing ankle while she rests foot in his hand she looks away shy smile wearing loose shorts pulled down and lace bralette legs crossed relaxed posture soft bedroom light peaceful intimate mood romantic connection tender","low quality...",Sexual/Partnered,1,
Gym Stretch Chest Forward,"sitting on gym mat stretching arms wide back arched chest forward wearing sports bra hugging breasts leggings showing curves sweat glistening face flushed intense focus look bright airy studio light energetic sensual vibe dynamic","low quality...",General,1,
Stairs Banister Skirt Lift,"walking down stairs one step lower than previous holding banister skirt flaring slightly revealing leg movement looking up over shoulder confident smile warm tungsten light above background architectural lines elegant poised pose stylish","low quality...",Standing,1,
Window Book Page Bite,"sitting in window seat knees spread book open on lap wearing cardigan slipping off arms biting page corner looking up mischievous grin sunlight streaming dust motes floating cozy romantic atmosphere soft focus background charming","low quality...",Sitting/Kneeling,1,
Crawl Carpet Predatory,"crawling towards camera on hands and knees wearing fishnet stockings lace garter belt camisole riding up back arched hair cascading forward eyes locked with viewer predatory seductive expression dim room rug texture visible intense mood","low quality...",Kneeling/Crawling,1,
