"name","prompt"
"Neutral / Direct Portrait","Straight-on portrait expression, direct eye contact, balanced eyebrows, closed relaxed lips, calm self-possessed presence."
"Neutral / Thoughtful","Thoughtful expression, eyes focused slightly beyond the camera, lips gently pressed together, eyebrows subtly drawn inward."
"Neutral / Observant","Quiet observant expression, attentive eyes, slightly raised brows, relaxed mouth, subtle alertness."
"Neutral / Reserved","Reserved expression, restrained emotion, soft direct gaze, closed lips, composed posture."
"Neutral / Serene","Serene expression, softened eyes, faint peaceful smile, relaxed forehead and jaw, tranquil presence."
"Neutral / Stoic","Stoic expression, steady direct gaze, firm relaxed mouth, level eyebrows, controlled emotion."
"Neutral / Professional","Polished professional expression, attentive eye contact, subtle courteous smile, composed facial posture."
"Happy / Gentle Smile","Warm gentle smile, soft eye contact, relaxed eyebrows, cheeks slightly lifted, natural friendly expression."
"Happy / Bright Smile","Bright genuine smile, teeth slightly visible, eyes crinkling at the corners, raised cheeks, lively joyful energy."
"Happy / Laughing","Candid laughter, mouth open naturally, eyes narrowed with joy, cheeks lifted, head tipped slightly back."
"Happy / Quiet Amusement","Subtle amused smile, lips closed, eyes sparkling, one eyebrow slightly raised, restrained private humor."
"Happy / Proud","Proud satisfied expression, chin slightly raised, small confident smile, bright steady eyes."
"Happy / Relieved","Relieved smile after tension, softened eyes, slightly parted lips, eyebrows relaxing, visible release of stress."
"Happy / Delighted Surprise","Delighted surprised expression, wide bright eyes, lifted eyebrows, open smile, spontaneous joy."
"Happy / Nostalgic","Nostalgic smile, gaze drifting slightly away from camera, softened eyes, bittersweet warmth."
"Happy / Bashful","Bashful smile, gaze lowered to one side, cheeks softly raised, subtle blush, lips pressed into a shy grin."
"Happy / Radiant","Radiant joyful expression, full smile, shining eyes, raised cheeks, open welcoming energy."
"Happy / Content","Contented expression, eyes gently softened, faint closed-mouth smile, completely relaxed face."
"Happy / Playful Giggle","Playful giggle, hand-near-mouth energy without obscuring the face, eyes squinting slightly, mischievous smile."
"Playful / Raised Brow","Playful expression, one eyebrow raised, slight asymmetric grin, direct eye contact, teasing confidence."
"Playful / Double Wink","Exaggerated playful double-wink expression, broad grin, raised cheeks, lively cartoon-like energy."
"Playful / Nose Wrinkle","Playful nose wrinkle, narrowed smiling eyes, lifted cheeks, cheeky closed-mouth grin."
"Playful / Mock Shock","Mock-shocked expression, dramatically widened eyes, raised eyebrows, rounded mouth, clearly playful exaggeration."
"Playful / Silly Face","Silly spontaneous face, crossed eyes, puffed cheeks, lips pursed, carefree comic energy."
"Playful / Tongue Out","Lighthearted tongue-out expression, bright eyes, relaxed eyebrows, head tilted, playful non-sexual mood."
"Playful / Duck Face","Exaggerated duck-face pout, wide amused eyes, eyebrows slightly raised, intentionally playful selfie expression."
"Playful / Finger-Gun Mood","Confident cheeky expression, knowing smirk, narrowed eyes, eyebrows lifted, energetic playful attitude."
"Playful / Mischievous","Mischievous expression, eyes glancing sideways, subtle crooked grin, one eyebrow arched, secretive playful intent."
"Playful / Trying Not to Laugh","Trying not to laugh, lips pressed tightly together, cheeks raised, eyes sparkling, restrained amusement."
"Playful / Fake Innocence","Exaggerated innocent expression, very wide eyes, raised brows, tiny closed-mouth smile, clearly pretending to be harmless."
"Playful / Smug","Smug satisfied expression, half-lidded eyes, one corner of the mouth raised, chin slightly elevated."
"Cute / Puppy Eyes","Large pleading puppy-dog eyes, eyebrows raised toward the center, tiny pout, chin slightly lowered, vulnerable cute expression."
"Cute / Blushing Smile","Soft blushing smile, eyes lowered shyly, cheeks warmly flushed, lips gently curved, sweet reserved mood."
"Cute / Curious Tilt","Curious head tilt, widened attentive eyes, slightly parted lips, lifted eyebrows, innocent interest."
"Cute / Sleepy Smile","Sleepy gentle smile, half-closed eyes, relaxed eyebrows, soft cheeks, cozy drowsy expression."
"Cute / Puff Cheeks","Cheeks puffed out, lips closed, eyebrows slightly lowered, playful pretend frustration."
"Cute / Tiny Pout","Tiny delicate pout, glossy wide eyes, relaxed brows, chin tucked slightly downward."
"Cute / Excited Sparkle","Excited sparkling eyes, high raised eyebrows, small open smile, eager anticipatory expression."
"Cute / Shy Peek","Shy peeking expression, face angled partly away, eyes glancing back toward camera, faint smile, subtle blush."
"Cute / Flustered","Flustered expression, widened eyes, warm blush across cheeks, nervous smile, eyebrows lifted unevenly."
"Cute / Embarrassed","Embarrassed expression, gaze lowered, brows gently pinched, lips pressed into an awkward smile, flushed cheeks."
"Cute / Sweet Wink","Sweet gentle wink, small closed-mouth smile, slightly tilted head, soft friendly energy."
"Cute / Pleading","Pleading expression, brows raised and drawn together, glossy eyes, lips softly parted, hopeful vulnerable look."
"Confident / Intense Eye Contact","Direct intense eye contact, chin slightly lowered, eyebrows subtly raised, controlled half-smile, strong confident presence."
"Confident / Power Gaze","Powerful steady gaze into the lens, squared facial posture, firm lips, relaxed forehead, commanding composure."
"Confident / Knowing Smile","Knowing smile, eyes slightly narrowed, one brow raised, chin tilted upward, calm self-assurance."
"Confident / Challenger","Challenging expression, focused eyes, slightly lowered brows, faint smirk, chin angled forward."
"Confident / Glamour","Elegant glamour expression, half-lidded eyes, softly parted lips, lifted chin, poised sophisticated confidence."
"Confident / Cool Detachment","Cool detached expression, half-lidded gaze, relaxed mouth, head angled slightly away, effortless composure."
"Confident / Victory Smirk","Subtle victory smirk, bright focused eyes, one eyebrow lifted, cheeks barely raised."
"Confident / Defiant","Defiant expression, firm jaw, narrowed eyes, slightly raised chin, eyebrows drawn with determination."
"Confident / Fearless","Fearless direct stare, relaxed but strong jaw, steady brows, lips gently set, unwavering presence."
"Confident / Model Look","Editorial model expression, slightly parted lips, distant focused gaze, high cheek tension, poised neutral confidence."
"Flirty / Soft Tease","Soft teasing expression, direct eye contact, subtle asymmetric smile, one eyebrow gently raised, non-explicit playful charm."
"Flirty / Coy Glance","Coy glance from the corner of the eyes, faint smile, chin angled away, soft blush, reserved playful charm."
"Flirty / Over-Shoulder Look","Over-the-shoulder facial pose, eyes looking back toward the camera, gentle knowing smile, confident non-explicit allure."
"Flirty / Slow Wink","Slow confident wink, relaxed smile, head slightly tilted, warm direct gaze."
"Flirty / Shy Smile","Shy flirtatious smile, gaze briefly lowered then returning to camera, soft blush, gently raised cheeks."
"Flirty / Playful Pout","Playful pout with smiling eyes, eyebrows softly raised, head tilted slightly, light teasing mood."
"Flirty / Close-Up Gaze","Close-up direct gaze, softened eyelids, lips gently parted, calm affectionate expression, tasteful non-explicit mood."
"Flirty / Secret Smile","Tiny secretive smile, eyes glancing toward the camera, one eyebrow slightly raised, subtle private amusement."
"Bored / Half-Lidded","Half-lidded bored eyes, level brows, relaxed jaw, expressionless mouth, distant uninterested stare."
"Bored / Blank Stare","Blank stare directly into camera, unfocused eyes, neutral eyebrows, lips resting flat, emotionally absent expression."
"Bored / Eye Roll","Obvious eye roll upward, lips slightly pursed, eyebrows lifted, exaggerated impatience."
"Bored / Heavy Sigh","Expression of a heavy sigh, eyelids lowered, mouth slightly open, brows relaxed, visible exhaustion and impatience."
"Bored / Unimpressed","Unimpressed expression, one brow slightly raised, lips pressed flat, eyes fixed coolly on the camera."
"Bored / Resting Face","Natural resting expression, relaxed eyelids, neutral mouth, minimal emotion, casual unposed appearance."
"Bored / Waiting","Impatient waiting expression, gaze drifting to the side, lips pursed, brows faintly knitted."
"Bored / Tired of This","Fed-up expression, half-closed eyes, slight frown, raised inner eyebrow, exhausted resignation."
"Tired / Sleep Deprived","Sleep-deprived expression, heavy eyelids, faint under-eye tension, slack relaxed mouth, unfocused gaze."
"Tired / Yawning","Natural yawn, eyes squeezed partly closed, mouth open, eyebrows lifted, candid sleepy expression."
"Tired / Just Woke Up","Just-woke-up expression, squinting eyes, messy unfocused gaze, relaxed lips, sleepy confusion."
"Tired / Burned Out","Burned-out expression, distant eyes, lowered brows, lips slightly parted, emotional and physical exhaustion."
"Tired / Fighting Sleep","Fighting sleep, eyelids repeatedly drooping, eyebrows raised in effort, faint tired smile."
"Tired / Late Night Screen","Late-night screen fatigue, narrowed dry eyes, faint frown, face lit by monitor glow, mentally drained mood."
"Tired / Peaceful Drowsy","Peaceful drowsy expression, eyes nearly closed, tiny content smile, relaxed cheeks and jaw."
"Tired / Overworked","Overworked expression, brow gently furrowed, tired focused eyes, lips pressed together, restrained frustration."
"Sad / Quiet","Quiet sadness, downcast eyes, inner eyebrows raised, lips gently pressed together, restrained emotion."
"Sad / Tearful","Tearful expression, glossy eyes, trembling lower lip, brows drawn upward at the center, cheeks slightly flushed."
"Sad / Single Tear","A single tear tracing down one cheek, distant gaze, lips slightly parted, controlled sorrow."
"Sad / Heartbroken","Heartbroken expression, wet eyes, eyebrows pinched upward, mouth tense, visible emotional pain."
"Sad / Disappointed","Disappointed expression, gaze lowered, eyebrows gently furrowed, lips curved slightly downward."
"Sad / Lonely","Lonely distant expression, eyes looking past the camera, faint frown, relaxed posture, emotional isolation."
"Sad / Trying to Smile","Trying to smile through sadness, watery eyes, uneven fragile smile, brows lifted with emotion."
"Sad / Grief","Deep grief, eyes squeezed shut, brows tightly drawn upward, mouth open in a silent sob, intense emotional pain."
"Sad / Resigned","Resigned sadness, lowered eyelids, flat mouth, relaxed brows, quiet acceptance."
"Sad / Vulnerable","Vulnerable expression, glossy direct eyes, slightly parted lips, raised inner brows, subtle trembling emotion."
"Angry / Controlled","Controlled anger, narrowed eyes, lowered eyebrows, lips pressed firmly together, tense jaw."
"Angry / Furious","Furious expression, sharply lowered brows, wide intense eyes, clenched teeth, flushed cheeks, visible rage."
"Angry / Irritated","Irritated expression, one eyebrow lowered, eyes narrowed, lips pursed, subtle facial tension."
"Angry / Glare","Cold intimidating glare, direct eye contact, lowered brows, tight mouth, still controlled posture."
"Angry / Snarl","Aggressive snarl, upper lip raised, teeth visible, nose wrinkled, intense narrowed eyes."
"Angry / Shouting","Shouting expression, mouth open wide, brows sharply lowered, eyes intense, neck and jaw visibly tense."
"Angry / Betrayed","Angry betrayed expression, glossy eyes, brows drawn together, jaw tight, lips trembling with hurt."
"Angry / Defiant Tears","Tears in the eyes while maintaining a defiant glare, jaw clenched, brows lowered, emotional strength."
"Angry / Frustrated","Frustrated expression, eyes squeezed shut, brow deeply furrowed, teeth lightly clenched, tense cheeks."
"Angry / Seething","Seething restrained anger, unwavering stare, nostrils slightly flared, lips pressed into a thin line."
"Fear / Startled","Startled expression, widened eyes, eyebrows raised high, mouth slightly open, head pulling back instinctively."
"Fear / Terrified","Terrified expression, very wide eyes, raised and drawn-together brows, mouth open, face tense with panic."
"Fear / Suspicious","Fearful suspicious glance to the side, eyes widened, lips pressed tight, brows lifted unevenly."
"Fear / Frozen","Frozen-in-fear expression, unblinking wide eyes, pale tense face, lips slightly parted, rigid jaw."
"Fear / Nervous","Nervous expression, darting eyes, uneasy smile, raised inner brows, lips pressed then slightly parted."
"Fear / Panic","Panic expression, eyes wide and unfocused, brows raised sharply, mouth open, rapid-breathing facial tension."
"Fear / Uneasy","Uneasy expression, brows subtly drawn together, gaze shifting off-camera, lips tense, restrained apprehension."
"Fear / Shocked Silence","Silent shock, wide fixed eyes, lifted eyebrows, slightly open mouth, completely stunned stillness."
"Surprise / Pleasant","Pleasant surprise, widened bright eyes, lifted eyebrows, small open smile, spontaneous delight."
"Surprise / Jaw Drop","Dramatic jaw-drop reaction, eyes extremely wide, eyebrows raised, mouth open in astonishment."
"Surprise / Double Take","Double-take expression, head turning back toward the camera, one brow raised, eyes widened in disbelief."
"Surprise / Confused","Surprised confusion, uneven eyebrows, slightly squinted eyes, mouth partly open, head tilted."
"Surprise / Revelation","Sudden realization, eyes widening, brows lifting, lips parting into an amazed smile."
"Surprise / Speechless","Speechless expression, wide eyes, raised brows, lips barely parted, frozen astonishment."
"Surprise / Gasp","Visible gasp, mouth rounded, eyes wide, eyebrows arched, cheeks slightly lifted."
"Surprise / Skeptical","Skeptical surprise, one eyebrow raised high, eyes narrowed slightly, lips parted in doubtful disbelief."
"Disgust / Nose Wrinkle","Disgusted expression, nose wrinkled, upper lip raised, eyes narrowed, eyebrows lowered."
"Disgust / Revolted","Strong revulsion, face pulling backward, brows furrowed, nostrils flared, mouth twisted away."
"Disgust / Bad Taste","Reaction to a bad taste, eyes squeezed partly shut, tongue slightly out, nose wrinkled, cheeks tense."
"Disgust / Grossed Out","Grossed-out expression, chin pulled back, lips curled, brows raised and pinched, eyes avoiding the subject."
"Contempt / Sneer","Contemptuous sneer, one side of the upper lip raised, half-lidded eyes, chin slightly elevated."
"Contempt / Superior","Superior dismissive expression, raised chin, one eyebrow lifted, faint cold smile, narrowed gaze."
"Contempt / Mocking","Mocking expression, crooked grin, one brow raised, eyes narrowed with amused disdain."
"Contempt / Disbelief","Disbelieving contempt, eyes narrowed, lips pressed into a smirk, eyebrows lifted unevenly."
"Confused / Head Tilt","Confused head tilt, eyebrows unevenly raised, eyes focused intently, lips slightly parted."
"Confused / Furrowed Brow","Deeply furrowed brow, narrowed eyes, lips pursed, concentrated puzzled expression."
"Confused / Lost","Completely lost expression, wide uncertain eyes, raised inner brows, small hesitant mouth."
"Confused / Processing","Processing new information, gaze shifting upward, lips gently pressed, one eyebrow slowly rising."
"Confused / What?","Exaggerated 'what?' expression, one brow high, eyes widened, mouth open slightly, head pulled back."
"Confused / Skeptical","Skeptical confusion, narrowed eyes, one brow raised, lips pressed sideways."
"Confused / Awkward","Awkward confused smile, eyes glancing aside, eyebrows lifted, lips stretched uncertainly."
"Confused / Concentrating","Intense concentration, brows drawn together, eyes focused downward, lips slightly pursed."
"Candid / Reading Screen","Candid focused expression while reading a screen, eyes scanning slightly downward, lips relaxed, subtle monitor reflections."
"Candid / Typing","Focused typing expression, gaze fixed below camera, slightly furrowed brows, lips gently pressed together."
"Candid / Video Call","Natural video-call expression, attentive eyes toward webcam, polite small smile, relaxed posture."
"Candid / Listening","Actively listening, eyes focused off-camera, eyebrows softly raised, lips closed, subtle nodding energy."
"Candid / Reacting to Message","Reacting to an unexpected message, eyes widening slightly, tiny amused smile forming, face lit by phone screen."
"Candid / Phone Glow","Looking down at a phone, soft screen glow on the face, private smile, relaxed eyebrows, candid intimate lighting."
"Candid / Lost in Music","Eyes gently closed, faint smile, relaxed jaw, absorbed peaceful expression as if listening to music."
"Candid / Daydreaming","Daydreaming expression, distant unfocused eyes, soft half-smile, relaxed brows, head resting at a slight angle."
"Candid / Coffee First Sip","Pleasant reaction to the first sip of coffee, eyes softly closing, contented smile, relaxed cheeks."
"Candid / Sudden Notification","Quick glance toward a sudden notification, one eyebrow raised, eyes alert, lips slightly parted."
"Candid / Focused Gamer","Focused gaming expression, narrowed attentive eyes, slightly open mouth, brows subtly furrowed, screen light on face."
"Candid / Streamer Laugh","Natural streamer laughter, eyes turning toward a side monitor, broad spontaneous smile, lively candid energy."
"Anime / Dazed Exaggeration","Hyper-exaggerated non-explicit dazed expression, eyes rolled upward or comically crossed, mouth open, tongue extended, heavily flushed cheeks, chaotic manga reaction."
"Anime / Sparkling Joy","Exaggerated joy, huge sparkling eyes, high eyebrows, wide delighted smile, glowing cheerful energy."
"Anime / Chibi Anger","Chibi-style anger, puffed cheeks, sharply lowered brows, tiny clenched mouth, exaggerated frustration."
"Anime / Shock Lines","Extreme shock, tiny pupils, very wide eyes, raised eyebrows, open mouth, dramatic stunned expression."
"Anime / Embarrassment","embarrassment, intense blush across cheeks and nose, eyes squeezed shut, awkward trembling smile."
"Anime / Tsundere","Tsundere expression, face turned slightly away, flushed cheeks, brows lowered, reluctant side-eye, tiny pout."
"Anime / Yandere Calm","Unsettling calm expression, gentle closed-mouth smile, wide unblinking eyes, eerily composed gaze."
"Anime / Villain Smirk","villain smirk, narrowed eyes, one eyebrow raised, shadowed gaze, confident sinister amusement."
"Anime / Crying Waterfall","Comically exaggerated crying, streaming tears, eyes squeezed shut, mouth open in a dramatic wail."
"Anime / Starstruck","Starstruck expression, huge shining eyes, raised brows, open delighted smile, flushed cheeks."
"Anime / Determined Hero","Determined hero expression, focused eyes, lowered brows, firm mouth, fearless resolve."
"Anime / Menacing Shadow","Menacing expression, eyes partly hidden beneath shadow, faint smile, lowered chin, intense ominous gaze."
"Anime / Catlike Mischief","Catlike mischief, narrowed smiling eyes, tiny fang visible, playful grin, head tilted."
"Anime / Glitchy Overload","Overloaded reaction, spiraled or unfocused eyes, flushed cheeks, crooked open smile, exaggerated digital-chaos energy."
"Anime / Empty Eyes","Emotionally empty expression, unfocused glassy eyes, relaxed brows, flat mouth, eerie stillness."
"Anime / Blushing Panic","blushing panic, wide eyes, raised brows, bright flushed cheeks, nervous open mouth, flustered energy."
"Cinematic / Determination","Cinematic determined expression, brows lowered, eyes fixed beyond camera, jaw set, lips firm, dramatic directional lighting."
"Cinematic / Haunted","Haunted expression, distant glassy eyes, lips slightly parted, brows subtly raised, face tense with remembered fear."
"Cinematic / Silent Resolve","Silent resolve, steady eyes, tight jaw, relaxed but firm mouth, subtle emotional weight."
"Cinematic / Suspicion","Cinematic suspicion, eyes shifting toward an unseen sound, one brow lowered, lips pressed together, tense stillness."
"Cinematic / Hidden Grief","Hidden grief beneath a composed face, wet eyes, controlled mouth, subtle tension around the brows."
"Cinematic / Revelation","Dramatic revelation, eyes slowly widening, eyebrows lifting, breath caught, lips parting in realization."
"Cinematic / Vengeance","Cold vengeance, narrowed unwavering eyes, jaw clenched, lips forming a restrained severe line."
"Cinematic / Final Goodbye","Bittersweet final-goodbye expression, tearful eyes, fragile smile, brows raised with sadness and affection."
"Cinematic / Survivor","Exhausted survivor expression, dirt-streaked tense face, alert eyes, lips parted, resilient determination."
"Cinematic / Uncertain Trust","Uncertain trust, cautious eye contact, brows slightly raised, mouth softening from tension."
"Cinematic / Moral Conflict","Moral conflict visible in the face, eyes shifting downward, brow furrowed, lips pressed tightly, restrained emotion."
"Cinematic / Ominous Calm","Ominous calm, barely visible smile, direct unblinking gaze, relaxed brows, unsettling emotional control."
"Microexpression / Suppressed Smile","A smile being suppressed, one corner of the mouth lifting, cheeks barely tightening, eyes showing quiet amusement."
"Microexpression / Brief Doubt","Fleeting doubt, one eyebrow twitching upward, eyes narrowing briefly, lips pressing together."
"Microexpression / Hidden Annoyance","Hidden annoyance, jaw tightening slightly, eyes narrowing for a moment, polite smile remaining in place."
"Microexpression / Recognition","Instant recognition, eyes brightening, eyebrows lifting subtly, lips parting before a smile."
"Microexpression / Unease","Subtle unease, eyes flicking sideways, lips tightening, inner brows lifting almost imperceptibly."
"Microexpression / Suspicion","Subtle suspicion, one eyebrow lowering, gaze sharpening, mouth remaining neutral."
"Microexpression / Relief","Tiny release of relief, eyelids softening, jaw relaxing, faint smile appearing."
"Microexpression / Hurt","Brief flash of hurt, eyes lowering, inner brows lifting, lips tightening before composure returns."
"Microexpression / Attraction","Tasteful subtle attraction, softened eye contact, tiny warm smile, relaxed brows, attentive gaze."
"Microexpression / Concealed Fear","Concealed fear, eyes widening slightly, lips pressing flat, nostrils subtly flaring while the face remains composed."
"Microexpression / Pride","Subtle pride, chin lifting slightly, cheeks tightening, restrained satisfied smile."
"Microexpression / Disapproval","Quiet disapproval, lips pressing into a thin line, one brow raised, gaze steady and cool."
