style_name,prompt,negative_prompt
Hotel Room Glamour,"adult woman, stylish hotel room glamour pose, elegant outfit, soft cinematic lighting, confident expression","low quality"
Rooftop Glamour,"adult woman, rooftop glamour pose, confident fashion model, city lights background, editorial style","low quality"
Urban Alley Glamour,"adult woman, urban alley glamour pose, confident stance, cinematic street lighting, edgy fashion","low quality"
Motorcycle Pose,"adult woman, posing beside motorcycle, confident edgy glamour, leather fashion styling, cinematic light","low quality"
Car Glamour Pose,"adult woman, posing beside luxury car, confident stance, cinematic fashion shoot, evening lighting","low quality"
Leather Jacket Pose,"adult woman, holding leather jacket over shoulder, confident sexy fashion pose, editorial photography","low quality"
Gothic Glamour,"adult woman, gothic glamour pose, dark elegant styling, confident expression, dramatic lighting","low quality"
Elegant Vampire,"adult woman, elegant vampire inspired glamour pose, dramatic gothic lighting, mysterious expression","low quality"
Cyberpunk Glamour,"adult woman, neon cyberpunk glamour pose, confident stance, futuristic fashion, vivid city lights","low quality"
Nightclub Pose,"adult woman, nightclub fashion pose, confident attitude, neon glamour lighting, stylish outfit","low quality"
Romantic Soft Pose,"adult woman, romantic soft glamour pose, gentle confident expression, dreamy lighting, elegant styling","low quality"
Dangerous Beauty,"adult woman, dangerous beauty pose, intense confident expression, dramatic fashion lighting, femme fatale mood","low quality"
