name,prompt,negative_prompt,category,weight,favorite
0013 | Character | Anime Character/L,"L Death Note, messy black hair, white shirt, crouched detective, tired eyes, recognizable character reference, accurate signature outfit, accurate color palette, strong silhouette, high-recognition character trigger","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, wrong outfit, wrong colors, generic face, unrecognizable character, text artifacts, watermark, logo artifacts",Character/Character,1,
0014 | Location | Real Haunted Places/United States/Villisca Axe Murder House — Storm Aftermath,"Villisca Axe Murder House, the small Iowa house, simple bedrooms, white clapboard exterior and quiet residential street, after a passing storm, wet stone and reflective ground, broken cloud, wind-tossed vegetation, dramatic but believable light and restrained supernatural unease, no people present, environment-first composition, highly detailed architecture and surfaces, coherent spatial layout, cinematic depth, polished colour separation, subtle volumetric atmosphere, realistic materials, professional horror production design","people as main subject, visible monster as main subject, graphic gore, inaccurate landmark replacement, modern clutter, bright cheerful mood, malformed architecture, impossible perspective, duplicated structures, warped signage, invented text, watermark, logo, low detail, blur",Location/Real Haunted Places/United States,1.0,False
0015 | Action | Professional/Mixing Audio - Close Detail,"adjusting faders and listening closely through studio headphones, hands and interacting objects clearly visible with correct grip and scale","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Action/Professional,1.0,False
0016 | Character | Character/Star Wars/Valkorion,"Valkorion, Star Wars, iconic fictional character, faithful canonical costume, hairstyle, colour palette, signature props and instantly readable silhouette, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/Character,1,
0017 | Subject | Animal / Siberian tiger — Clear Identity,"a Siberian tiger as the clearly recognisable central animal subject, species-accurate proportions and defining features","wrong animal, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark",Subject/Animals / Big cats,1,
0018 | Action | Sport/Surfing Turn - Controlled Landing,"carving a turn on a surfboard, knees bent, torso leaning into the rail, knees absorbing impact, feet aligned, balance recovered","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Sport,1.0,False
0019 | Pose | Seated/Sideways Chair - Long Spine,"seated sideways across a chair, torso rotated toward the open side, legs angled together, crown lifted, lower back neutral, ribcage stacked over the pelvis","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Seated,1.0,False
0020 | Action | Cinematic/Opening Secret Compartment - Urgent,"pressing a hidden catch as a concealed panel releases, action performed with controlled urgency and clear forward intention","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Action/Cinematic,1.0,False
0021 | Pose | Seated/Edge Of Seat - Soft Curve,"seated on the front edge of a seat, torso leaning slightly forward, feet staggered for balance, spine relaxed into a gentle curve, chin neutral, posture comfortable","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Seated,1.0,False
0022 | Action | Sport/Tennis Return - Close Detail,"meeting the ball with a controlled two-handed return, hands and interacting objects clearly visible with correct grip and scale","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Action/Sport,1.0,False
0023 | Character | Real Female/Musician/Halsey,"Halsey, Female public figure portrait reference, safe editorial portrait reference, recognizable likeness from widely known public imagery, alt-pop singer portrait, edgy hair and fashion options, expressive gaze, clear face reference, natural skin texture, clothed portrait framing, category tag: Real Female/Musician","low quality, blurry, bad anatomy, extra fingers, missing fingers, deformed face, generic face, unrecognizable person, wrong person, text artifacts, watermark, logo artifacts, ",Character/Character,1,
0024 | Subject | Car / Mercedes-AMG E 63 S — Three-Quarter Form,"a Mercedes-AMG E 63 S with its authentic body style, characteristic front and side profile, and production-era details","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark",Subject/Cars / Mercedes-AMG,1,
0025 | Action | Horror/Breaking Possession Ritual - Exhausted,"scattering ritual objects and pulling someone away from danger, visible fatigue in breathing and shoulders while the action remains readable","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, child, teen, underage, low detail, blur, text, watermark",Action/Horror,1.0,False
0026 | Clothing | Female/Unbranded/Swimwear - Look 20 / Hair 04,"retro one-piece swimsuit with sweetheart neckline and softly ruched waist, low ponytail with soft face-framing strands, soft material texture, accurate strap construction, clean edges and practical fit","brand logo, visible text, random labels, duplicated garments, merged clothing, broken straps, incorrect seams, malformed footwear, inconsistent fabric, hairstyle changing between views, low detail, blur, watermark",Clothing/Female/Unbranded/Swimwear,1.0,False
0027 | Pose | Standing/One Foot On Step - Strong Square Line,"standing with one foot raised onto a low step, front knee bent, hips squared and steady, shoulders and hips squared, chin neutral, posture firm and architectural","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Standing,1.0,False
"0028 | Location | United States/French Quarter, New Orleans - Storm Clearing","French Quarter in New Orleans, cast-iron balconies, pastel stucco walls, shuttered windows, worn pavement, as a storm clears, dramatic clouds separating, bright shafts of light, wet surfaces","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/United States,1.0,False
0029 | Pose | Seated/One Knee Raised - Long Spine,"seated with one knee raised toward the torso and the other leg extended lower, back lengthened, crown lifted, lower back neutral, ribcage stacked over the pelvis","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Seated,1.0,False
0030 | Location | Public & Social/Basketball Court - Clear Morning,"on an outdoor basketball court with painted lines, hoops, chain fence and surrounding apartments, on a clear morning with crisp detail, fresh light and calm atmosphere","generic empty setting, impossible architecture, broken perspective, duplicated furniture, floating objects, malformed vehicle geometry, warped signs, unreadable text, low detail, blur, watermark",Location/Public & Social,1.0,False
"0031 | Location | Malaysia/Petronas Towers, Kuala Lumpur - Soft Overcast","Petronas Towers in Kuala Lumpur, stainless-steel twin spires, skybridge, landscaped plaza, reflective pools, under soft overcast light, even tones, saturated materials, subdued sky","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/Malaysia,1.0,False
0032 | Clothing | Female/Streetwear/Carhartt WIP - Varsity Jacket + Cycling Shorts,"Carhartt WIP varsity jacket with chenille patches, contrast sleeves, and striped ribbing, high-rise cycling shorts, chunky trainers, lightweight waist bag, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Female/Streetwear,1.0,False
0033 | Character | Real Public Figure/Maya Hawke — Prestige Editorial,"Maya Hawke, prestige magazine editorial with restrained luxury wardrobe and sculpted studio light, adult actor, recognisable likeness from widely known public imagery, premium film-and-television editorial portrait, refined red-carpet styling and expressive cinematic presence, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Female/Actor","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Character/Character,1,
0034 | Character | Character/Marvel/Dormammu,"Dormammu, Marvel Comics, iconic fictional character, faithful canonical costume, hairstyle, colour palette, signature props and instantly readable silhouette, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/Character,1,
0035 | Character | Real Female/Popular Under 40/Karen Gillan,"Karen Gillan, adult actor, recognisable likeness from widely known public imagery, premium film-and-television editorial portrait, refined red-carpet styling and expressive cinematic presence, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Female/Actor","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Character/Character,1,
0036 | Clothing | Female/Streetwear/Vans - Utility Overshirt + Baggy Denim,"Vans boxy utility overshirt with oversized pockets, branded snaps, and durable twill construction, baggy washed denim, retro sneakers, ribbed socks, structured cap, faithful brand proportions, authentic hardware, believable folds, clean garment separation","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Female/Streetwear,1.0,False
0037 | Clothing | Male/Business/Saint Laurent - Double Breasted Blazer + Wool Trousers,"Saint Laurent double-breasted blazer with peak lapels, structured shoulders, and polished branded hardware, tailored wool trousers, polished Oxford shoes, leather briefcase, accurate logo scale and placement, realistic stitching, natural fabric drape, coordinated accessories","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Male/Business,1.0,False
0038 | Location | Everyday & Commercial/Department Store - Late Afternoon,"inside a department store with clothing displays, mannequins, polished counters and broad organised aisles, in late afternoon with warm side light, long shadows and glowing surfaces","generic empty setting, impossible architecture, broken perspective, duplicated furniture, floating objects, malformed vehicle geometry, warped signs, unreadable text, low detail, blur, watermark",Location/Everyday & Commercial,1.0,False
0039 | Character | Character/Marvel/Groot,"Groot, Marvel Comics, iconic fictional character, faithful canonical costume, hairstyle, colour palette, signature props and instantly readable silhouette, unmistakable high-recognition identity, polished cinematic character design, coherent anatomy, precise costume construction, refined material texture, controlled dramatic lighting, premium concept-art finish, character remains the clear subject","wrong character, generic substitute, mixed franchise design, inaccurate costume, wrong colours, missing signature feature, missing signature prop, unintended actor likeness, duplicate limbs, malformed hands, extra fingers, broken anatomy, inconsistent scale, random text, watermark, logo artifacts, low detail, blur",Character/Character,1,
0040 | Action | Fitness/Plank Shoulder Tap - Powerful Finish,"holding a plank while one hand taps the opposite shoulder, hips kept level, hips and shoulders extending strongly into the final position","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Fitness,1.0,False
0041 | Clothing | Female/Active & Outdoor/Arc'teryx - Fleece Layer + Bike Shorts,"Arc'teryx high-pile technical fleece with reinforced panels, zipped pockets, and clean woven label, compression bike shorts, training shoes, minimal gym pouch, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Female/Active & Outdoor,1.0,False
0042 | Pose | Reclining/Prone Chin On Hands - Grounded Strength,"lying face down with chin resting above folded hands, elbows opened outward, support points pressing firmly downward, body line steady","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Reclining,1.0,False
0043 | Clothing | Female/Polished Culture/New England Coastal - Layered Day Look / Low Sculpted Bun - Day Finish,"adult woman, navy knitwear, crisp cotton, weatherproof outer layer and classic loafers, a tailored coat over a fitted knit top, high-waisted trousers, structured bag and polished shoes, low sculpted bun with refined flyaway control, emerald, black and pearl palette, soft matte daytime finish, practical restrained accessories, authentic fabric texture, precise seams and fasteners, natural drape, believable accessories, polished editorial styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, child, teen, underage, watermark, low detail, blur",Clothing/Female/New England Coastal,1,False
0044 | Action | Outdoor/Paddling A Kayak - Strong Drive,"driving a paddle blade through the water, torso rotating, opposite hand pushing forward, legs and core engaged, action forceful and committed","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Outdoor,1.0,False
"0045 | Location | United States/Bethesda Terrace, Central Park - Quiet Weekend","Bethesda Terrace in Central Park, sandstone arches, grand staircase, fountain plaza, leafy mall, on a quiet early weekend, clear sightlines, calm streets, orderly details","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/United States,1.0,False
0046 | Action | Fitness/Walking Lunge - Recovery Position,"stepping into a forward lunge, rear knee lowering, torso upright, movement just completed, posture resetting without collapse","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Fitness,1.0,False
"0047 | Location | United Kingdom/Soho, London - Blue Hour","narrow Soho streets with Georgian facades, theatre-district glow, intimate restaurants and clubs, black cabs, dense central London night-time character, during blue hour, a deep cobalt sky, warm windows and streetlights beginning to glow","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/United Kingdom,1.0,False
0048 | Clothing | Male/Underwear/SAXX - Long Leg Boxer Brief + Performance Finish,"SAXX long-leg boxer briefs with anti-chafe panels and moisture-wicking stretch fabric, breathable mesh zones, moisture control, reinforced ergonomic panels, precise seams and fasteners, premium material texture, balanced layering, polished styling","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Male/Underwear,1.0,False
0049 | Action | Home & Craft/Folding Laundry - One Hand Support,"folding a clean garment into crisp even sections, palms smoothing the fabric, one hand stabilising the object while the other performs the detailed task","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Home & Craft,1.0,False
0050 | Pose | Crouching/Deep Squat - Tension And Release,"holding a deep squat with heels grounded, knees open, spine extended upward, one side of the body lengthened while the opposite side relaxes","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Crouching,1.0,False
0051 | Clothing | Female/Unbranded/Swimwear - Look 12 / Hair 03,"colour-block bikini with supportive top and high-cut low-waist bottoms, high ponytail with smooth crown and wrapped base, subtle tonal coordination, natural folds, consistent garment structure and polished finishing","brand logo, visible text, random labels, duplicated garments, merged clothing, broken straps, incorrect seams, malformed footwear, inconsistent fabric, hairstyle changing between views, low detail, blur, watermark",Clothing/Female/Unbranded/Swimwear,1.0,False
0052 | Subject | Fantasy / ancient mountain dragon — Elegant,"an elegant ancient mountain dragon with refined fantasy craftsmanship, balanced detail and a memorable visual identity","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark",Subject/Fantasy / Dragons,1,
"0053 | Location | Spain/Sagrada Família, Barcelona - Clear Morning","Sagrada Família in Barcelona, intricate stone towers, sculpted facades, surrounding Eixample streets, cranes and pinnacles, on a clear morning, crisp masonry, open courtyards, clean architectural detail","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/Spain,1.0,False
0054 | Character | Real Female/Popular Under 40/Letitia Wright,"Letitia Wright, adult actor, recognisable likeness from widely known public imagery, premium film-and-television editorial portrait, refined red-carpet styling and expressive cinematic presence, clear facial reference, natural skin texture, precise facial structure, refined hair detail, clothed portrait framing, modern wardrobe styling, confident camera-ready expression, cinematic beauty lighting, premium magazine finish, category tag: Real Female/Actor","wrong identity, generic face, altered facial structure, inaccurate hairstyle, age regression, child, teen, underage, distorted eyes, asymmetrical features, plastic skin, bad anatomy, extra fingers, missing fingers, warped clothing, mixed celebrity identity, text, watermark, logo artifacts, low detail, blur",Character/Character,1,
"0055 | Location | United States/Pike Place Market, Seattle - Clear Morning","Pike Place Market streetscape with historic brick facades, covered stalls, steep streets, waterfront glimpses and layered Pacific Northwest city character without readable signage, on a clear morning, crisp facades, fresh light and reflective surfaces","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/United States,1.0,False
"0056 | Location | Peru/Barranco, Lima - Late Afternoon","Barranco in Lima, Bridge of Sighs, colourful colonial facades, bougainvillea, cliffside lanes, in late afternoon, warm light grazing stonework, long shadows across paving","incorrect landmark geometry, generic substitute architecture, warped signage, invented text, floating structures, impossible perspective, duplicated buildings, empty featureless setting, low detail, blur, watermark",Location/Peru,1.0,False
0057 | Location | Original Cinematic Horror/Local Radio Station at Night — Abandoned Daylight,"Local Radio Station at Night, a small isolated radio station with soundproof booth, mixing desk, red on-air lamp and dark windows, in pale overcast daylight, abandonment clearly visible, authentic wear and material detail, long empty sightlines and unsettling realism rather than darkness alone, no people present, environment-first composition, highly detailed architecture and surfaces, coherent spatial layout, cinematic depth, polished colour separation, subtle volumetric atmosphere, realistic materials, professional horror production design","people as main subject, visible monster as main subject, graphic gore, modern clutter that contradicts the setting, bright cheerful mood, flat lighting, malformed architecture, impossible perspective, duplicated doors, floating objects, warped signage, invented readable text, watermark, logo, low detail, blur",Location/Original Cinematic Horror,1.0,False
0058 | Subject | Fantasy / dwarf shield bearer — Elegant,"an elegant dwarf shield bearer with refined fantasy craftsmanship, balanced detail and a memorable visual identity","wrong fantasy subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark",Subject/Fantasy / Dwarves,1,
0059 | Pose | Seated/Cross Legged Floor - Leftward Gaze,"seated cross-legged on the floor, pelvis grounded evenly, spine lifted, head turned slightly left, neck long, torso remaining centred","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Seated,1.0,False
0060 | Clothing | Male/Hair Styles/Shoulder-Length Locs Tied Half-Up + modern western suede trucker over a snap shirt,"shoulder-length locs tied half-up, modern western suede trucker over a snap shirt, bootcut denim and polished cowboy boots, camel, black and warm ivory palette, polished leather accessories, realistic individual hair strands, clean hairline, coherent garment construction, believable fabric weight, refined layering, balanced accessories, polished contemporary styling","wrong hairstyle, inconsistent hair length, merged hair strands, duplicate accessories, incorrect garment layering, warped clothing, broken seams, broken fasteners, malformed footwear, random logos, misspelled text, poor fit, extra limbs, bad hands, watermark, low detail, blur",Clothing/Male/Hair Styles,1.0,False
0061 | Action | Leisure & Social/Playing A Board Game - Mid Interaction,"moving a game piece across a board, free hand resting beside arranged pieces, gesture held in a natural social beat, arms clearly separated","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Leisure & Social,1.0,False
0062 | Location | Space & Speculative/Orbital Laboratory - Bright Midday,"inside an orbital laboratory with experiment racks, floating equipment, laptops and Earth visible through a window, at bright midday with strong illumination, defined geometry and short shadows","generic empty setting, impossible architecture, broken perspective, duplicated furniture, floating objects, malformed vehicle geometry, warped signs, unreadable text, low detail, blur, watermark",Location/Space & Speculative,1.0,False
0063 | Pose | Dynamic/Back Arch Reach - Leftward Focus,"arching backward with chest lifted and one arm reaching overhead, hips controlled, head and shoulders leading slightly left, motion continuing through the hips","stiff posture, broken anatomy, impossible joints, twisted limbs, duplicated limbs, fused fingers, floating hands, unnatural balance, cropped feet, unclear silhouette, low detail, blur, text, watermark",Pose/Dynamic,1.0,False
0064 | Action | Outdoor/Casting A Fishing Line - Steady Effort,"swinging a fishing rod forward, rear shoulder rotating, wrist finishing the cast, movement controlled against uneven ground or resistance","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Outdoor,1.0,False
0065 | Clothing | Female/Streetwear/Nike - Oversized Hoodie + Pleated Mini,"Nike oversized heavyweight hoodie with structured hood, ribbed cuffs, and precise logo placement, pleated mini skirt, platform sneakers, crew socks, mini backpack, recognisable branded detailing, correct sole shape, realistic fabric weight, carefully matched colours","misspelled branding, counterfeit logo, warped lettering, duplicated garments, merged clothing, incorrect seams, broken fasteners, malformed footwear, inconsistent fabric, random outfit changes, poor garment fit, low detail, blur, watermark",Clothing/Female/Streetwear,1.0,False
0066 | Action | Home & Craft/Folding Laundry - Steady Repetition,"folding a clean garment into crisp even sections, palms smoothing the fabric, repeated motion smooth and consistent, shoulders relaxed","frozen motion, unclear action, incorrect object interaction, misplaced hands, broken anatomy, impossible joints, duplicated limbs, floating objects, awkward grip, low detail, blur, text, watermark",Action/Home & Craft,1.0,False
