name,category,prompt,negative_prompt
Bugatti EB110 — Factory Identity,Bugatti,"a Bugatti EB110, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ford Mustang Boss 429 — Factory Identity,American muscle,"a Ford Mustang Boss 429, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lancia Delta HF Integrale — Factory Identity,Rally homologation,"a Lancia Delta HF Integrale, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Jaguar E-Type — Factory Identity,Classic European sports,"a Jaguar E-Type, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Rimac Nevera — Factory Identity,Modern hypercars,"a Rimac Nevera, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Nissan Skyline GT-R R33 — Factory Identity,Nissan performance,"a Nissan Skyline GT-R R33, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota Supra A60 — Factory Identity,Toyota performance,"a Toyota Supra A60, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda RX-7 FC3S — Factory Identity,Mazda rotary and sports,"a Mazda RX-7 FC3S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda NSX NA2 — Factory Identity,Honda performance,"a Honda NSX NA2, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution II — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution II, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru Impreza WRX STI GD — Factory Identity,Subaru STI,"a Subaru Impreza WRX STI GD, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari F40 — Factory Identity,Ferrari,"a Ferrari F40, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 964 — Factory Identity,Porsche 911,"a Porsche 911 964, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 918 Spyder — Factory Identity,Porsche sports,"a Porsche 918 Spyder, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Countach — Factory Identity,Lamborghini,"a Lamborghini Countach, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren P1 — Factory Identity,McLaren,"a McLaren P1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG GT R — Factory Identity,Mercedes-AMG,"a Mercedes-AMG GT R, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M3 E30 — Factory Identity,BMW M,"a BMW M3 E30, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS3 — Factory Identity,Audi RS,"a Audi RS3, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Elise S1 — Factory Identity,Lotus,"a Lotus Elise S1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Aston Martin V8 Vantage — Factory Identity,Aston Martin,"a Aston Martin V8 Vantage, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Koenigsegg CCR — Factory Identity,Koenigsegg,"a Koenigsegg CCR, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pagani Zonda F — Factory Identity,Pagani,"a Pagani Zonda F, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Bugatti Veyron — Factory Identity,Bugatti,"a Bugatti Veyron, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ford Mustang Shelby GT500 — Factory Identity,American muscle,"a Ford Mustang Shelby GT500, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lancia Stratos HF — Factory Identity,Rally homologation,"a Lancia Stratos HF, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-Benz 300SL Gullwing — Factory Identity,Classic European sports,"a Mercedes-Benz 300SL Gullwing, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pininfarina Battista — Factory Identity,Modern hypercars,"a Pininfarina Battista, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Nissan Skyline GT-R R34 — Factory Identity,Nissan performance,"a Nissan Skyline GT-R R34, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota Supra A70 — Factory Identity,Toyota performance,"a Toyota Supra A70, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda RX-7 FD3S — Factory Identity,Mazda rotary and sports,"a Mazda RX-7 FD3S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda NSX NC1 — Factory Identity,Honda performance,"a Honda NSX NC1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution III — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution III, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru Impreza WRX STI GR — Factory Identity,Subaru STI,"a Subaru Impreza WRX STI GR, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari F50 — Factory Identity,Ferrari,"a Ferrari F50, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 993 — Factory Identity,Porsche 911,"a Porsche 911 993, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche Cayman GT4 RS — Factory Identity,Porsche sports,"a Porsche Cayman GT4 RS, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Diablo — Factory Identity,Lamborghini,"a Lamborghini Diablo, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren 570S — Factory Identity,McLaren,"a McLaren 570S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG ONE — Factory Identity,Mercedes-AMG,"a Mercedes-AMG ONE, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M3 E36 — Factory Identity,BMW M,"a BMW M3 E36, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS4 B5 — Factory Identity,Audi RS,"a Audi RS4 B5, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Exige Cup 430 — Factory Identity,Lotus,"a Lotus Exige Cup 430, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Aston Martin DB9 — Factory Identity,Aston Martin,"a Aston Martin DB9, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Koenigsegg CCX — Factory Identity,Koenigsegg,"a Koenigsegg CCX, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pagani Zonda Cinque — Factory Identity,Pagani,"a Pagani Zonda Cinque, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Bugatti Chiron — Factory Identity,Bugatti,"a Bugatti Chiron, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Chevrolet Camaro ZL1 — Factory Identity,American muscle,"a Chevrolet Camaro ZL1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ford Escort RS Cosworth — Factory Identity,Rally homologation,"a Ford Escort RS Cosworth, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW 507 — Factory Identity,Classic European sports,"a BMW 507, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Hennessey Venom F5 — Factory Identity,Modern hypercars,"a Hennessey Venom F5, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Nissan GT-R R35 — Factory Identity,Nissan performance,"a Nissan GT-R R35, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota Supra A80 — Factory Identity,Toyota performance,"a Toyota Supra A80, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda RX-8 — Factory Identity,Mazda rotary and sports,"a Mazda RX-8, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda S2000 AP1 — Factory Identity,Honda performance,"a Honda S2000 AP1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution IV — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution IV, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru WRX STI VA — Factory Identity,Subaru STI,"a Subaru WRX STI VA, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari Testarossa — Factory Identity,Ferrari,"a Ferrari Testarossa, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 996 — Factory Identity,Porsche 911,"a Porsche 911 996, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 944 Turbo — Factory Identity,Porsche sports,"a Porsche 944 Turbo, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Murcielago — Factory Identity,Lamborghini,"a Lamborghini Murcielago, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren 600LT — Factory Identity,McLaren,"a McLaren 600LT, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG C 63 S — Factory Identity,Mercedes-AMG,"a Mercedes-AMG C 63 S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M3 E46 — Factory Identity,BMW M,"a BMW M3 E46, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS4 B7 — Factory Identity,Audi RS,"a Audi RS4 B7, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Evora GT430 — Factory Identity,Lotus,"a Lotus Evora GT430, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Aston Martin DBS Superleggera — Factory Identity,Aston Martin,"a Aston Martin DBS Superleggera, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Koenigsegg Agera RS — Factory Identity,Koenigsegg,"a Koenigsegg Agera RS, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pagani Huayra — Factory Identity,Pagani,"a Pagani Huayra, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Bugatti Chiron Super Sport — Factory Identity,Bugatti,"a Bugatti Chiron Super Sport, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Chevrolet Camaro SS 1969 — Factory Identity,American muscle,"a Chevrolet Camaro SS 1969, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ford RS200 — Factory Identity,Rally homologation,"a Ford RS200, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Alfa Romeo 33 Stradale — Factory Identity,Classic European sports,"a Alfa Romeo 33 Stradale, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
SSC Tuatara — Factory Identity,Modern hypercars,"a SSC Tuatara, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Nissan Silvia S13 — Factory Identity,Nissan performance,"a Nissan Silvia S13, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota GR Supra A90 — Factory Identity,Toyota performance,"a Toyota GR Supra A90, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda MX-5 NA — Factory Identity,Mazda rotary and sports,"a Mazda MX-5 NA, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda S2000 AP2 — Factory Identity,Honda performance,"a Honda S2000 AP2, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution V — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution V, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru WRX STI S209 — Factory Identity,Subaru STI,"a Subaru WRX STI S209, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari Enzo — Factory Identity,Ferrari,"a Ferrari Enzo, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 997 — Factory Identity,Porsche 911,"a Porsche 911 997, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 928 GTS — Factory Identity,Porsche sports,"a Porsche 928 GTS, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Gallardo — Factory Identity,Lamborghini,"a Lamborghini Gallardo, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren 675LT — Factory Identity,McLaren,"a McLaren 675LT, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG E 63 S — Factory Identity,Mercedes-AMG,"a Mercedes-AMG E 63 S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M3 E92 — Factory Identity,BMW M,"a BMW M3 E92, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS6 C5 — Factory Identity,Audi RS,"a Audi RS6 C5, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Emira — Factory Identity,Lotus,"a Lotus Emira, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Aston Martin Vantage — Factory Identity,Aston Martin,"a Aston Martin Vantage, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Koenigsegg One:1 — Factory Identity,Koenigsegg,"a Koenigsegg One:1, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Pagani Huayra BC — Factory Identity,Pagani,"a Pagani Huayra BC, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Bugatti Divo — Factory Identity,Bugatti,"a Bugatti Divo, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Dodge Challenger R/T 1970 — Factory Identity,American muscle,"a Dodge Challenger R/T 1970, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Peugeot 205 T16 — Factory Identity,Rally homologation,"a Peugeot 205 T16, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
De Tomaso Pantera — Factory Identity,Classic European sports,"a De Tomaso Pantera, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Gordon Murray T.50 — Factory Identity,Modern hypercars,"a Gordon Murray T.50, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Nissan Silvia S14 — Factory Identity,Nissan performance,"a Nissan Silvia S14, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Toyota 2000GT — Factory Identity,Toyota performance,"a Toyota 2000GT, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mazda MX-5 NB — Factory Identity,Mazda rotary and sports,"a Mazda MX-5 NB, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Honda Integra Type R DC2 — Factory Identity,Honda performance,"a Honda Integra Type R DC2, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mitsubishi Lancer Evolution VI — Factory Identity,Mitsubishi Evolution,"a Mitsubishi Lancer Evolution VI, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Subaru BRZ — Factory Identity,Subaru STI,"a Subaru BRZ, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Ferrari 458 Italia — Factory Identity,Ferrari,"a Ferrari 458 Italia, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 911 991 — Factory Identity,Porsche 911,"a Porsche 911 991, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Porsche 959 — Factory Identity,Porsche sports,"a Porsche 959, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lamborghini Aventador — Factory Identity,Lamborghini,"a Lamborghini Aventador, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
McLaren 720S — Factory Identity,McLaren,"a McLaren 720S, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Mercedes-AMG SL 63 — Factory Identity,Mercedes-AMG,"a Mercedes-AMG SL 63, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
BMW M3 G80 — Factory Identity,BMW M,"a BMW M3 G80, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Audi RS6 C8 — Factory Identity,Audi RS,"a Audi RS6 C8, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
Lotus Evija — Factory Identity,Lotus,"a Lotus Evija, recognisable factory body shape, generation-correct styling cues and clean model identity","wrong vehicle, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
