name,category,prompt,negative_prompt
mourning ghost — Atmospheric,Ghosts,"an atmospheric mourning ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mirror apparition — Atmospheric,Apparitions,"an atmospheric mirror apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
wandering vampire — Atmospheric,Vampires,"an atmospheric wandering vampire, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
urban werewolf — Atmospheric,Werewolves,"an atmospheric urban werewolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
armoured skeleton — Atmospheric,Undead,"an atmospheric armoured skeleton, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cloth haunted doll — Atmospheric,Haunted dolls,"an atmospheric cloth haunted doll, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed portrait — Atmospheric,Cursed objects,"an atmospheric cursed portrait, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
hooded omen — Atmospheric,Occult entities,"an atmospheric hooded omen, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
void-born observer — Atmospheric,Cosmic horror,"an atmospheric void-born observer, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
reed creature — Atmospheric,Swamp monsters,"an atmospheric reed creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
crystal cave predator — Atmospheric,Cave creatures,"an atmospheric crystal cave predator, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
containment-tank humanoid — Atmospheric,Laboratory subjects,"an atmospheric containment-tank humanoid, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
public-access mascot entity — Atmospheric,Analog horror,"an atmospheric public-access mascot entity, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
hat-wearing shadow figure — Atmospheric,Shadow figures,"an atmospheric hat-wearing shadow figure, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
porcelain-skinned mutation — Atmospheric,Body horror,"an atmospheric porcelain-skinned mutation, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
spectral raven — Atmospheric,Supernatural animals,"an atmospheric spectral raven, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
velvet-winged night creature — Atmospheric,Gothic creatures,"an atmospheric velvet-winged night creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
railway ghost — Atmospheric,Ghosts,"an atmospheric railway ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
rain-soaked apparition — Atmospheric,Apparitions,"an atmospheric rain-soaked apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ancient vampire — Atmospheric,Vampires,"an atmospheric ancient vampire, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
snowfield werewolf — Atmospheric,Werewolves,"an atmospheric snowfield werewolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
silent mummy — Atmospheric,Undead,"an atmospheric silent mummy, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
clockwork haunted doll — Atmospheric,Haunted dolls,"an atmospheric clockwork haunted doll, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed telephone — Atmospheric,Cursed objects,"an atmospheric cursed telephone, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
candlelit watcher — Atmospheric,Occult entities,"an atmospheric candlelit watcher, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
many-eyed cosmic entity — Atmospheric,Cosmic horror,"an atmospheric many-eyed cosmic entity, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
bog guardian — Atmospheric,Swamp monsters,"an atmospheric bog guardian, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
echoing tunnel creature — Atmospheric,Cave creatures,"an atmospheric echoing tunnel creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
failed synthetic organism — Atmospheric,Laboratory subjects,"an atmospheric failed synthetic organism, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
distorted emergency-warning face — Atmospheric,Analog horror,"an atmospheric distorted emergency-warning face, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
bedside silhouette — Atmospheric,Shadow figures,"an atmospheric bedside silhouette, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
limb-folding creature — Atmospheric,Body horror,"an atmospheric limb-folding creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
many-eyed deer — Atmospheric,Supernatural animals,"an atmospheric many-eyed deer, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
bell-tower watcher — Atmospheric,Gothic creatures,"an atmospheric bell-tower watcher, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
library ghost — Atmospheric,Ghosts,"an atmospheric library ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
stairwell apparition — Atmospheric,Apparitions,"an atmospheric stairwell apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
masked vampire — Atmospheric,Vampires,"an atmospheric masked vampire, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
elder werewolf — Atmospheric,Werewolves,"an atmospheric elder werewolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
bog corpse — Atmospheric,Undead,"an atmospheric bog corpse, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ventriloquist dummy — Atmospheric,Haunted dolls,"an atmospheric ventriloquist dummy, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed camera — Atmospheric,Cursed objects,"an atmospheric cursed camera, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
sigil-bound entity — Atmospheric,Occult entities,"an atmospheric sigil-bound entity, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
geometric abyss creature — Atmospheric,Cosmic horror,"an atmospheric geometric abyss creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mangrove stalker — Atmospheric,Swamp monsters,"an atmospheric mangrove stalker, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
pale cavern giant — Atmospheric,Cave creatures,"an atmospheric pale cavern giant, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
runaway bio-mechanical subject — Atmospheric,Laboratory subjects,"an atmospheric runaway bio-mechanical subject, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
training-tape intruder — Atmospheric,Analog horror,"an atmospheric training-tape intruder, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
streetlight shadow person — Atmospheric,Shadow figures,"an atmospheric streetlight shadow person, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
organic machine hybrid — Atmospheric,Body horror,"an atmospheric organic machine hybrid, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
shadow horse — Atmospheric,Supernatural animals,"an atmospheric shadow horse, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
rose-thorn monster — Atmospheric,Gothic creatures,"an atmospheric rose-thorn monster, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
harbour ghost — Atmospheric,Ghosts,"an atmospheric harbour ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
window apparition — Atmospheric,Apparitions,"an atmospheric window apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ruined-castle vampire — Atmospheric,Vampires,"an atmospheric ruined-castle vampire, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
moonlit werewolf — Atmospheric,Werewolves,"an atmospheric moonlit werewolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
undead sailor — Atmospheric,Undead,"an atmospheric undead sailor, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
antique puppet — Atmospheric,Haunted dolls,"an atmospheric antique puppet, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed wedding dress — Atmospheric,Cursed objects,"an atmospheric cursed wedding dress, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
masked occult figure — Atmospheric,Occult entities,"an atmospheric masked occult figure, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
celestial parasite — Atmospheric,Cosmic horror,"an atmospheric celestial parasite, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mud-born entity — Atmospheric,Swamp monsters,"an atmospheric mud-born entity, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
stalactite mimic — Atmospheric,Cave creatures,"an atmospheric stalactite mimic, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
sealed-room anomaly — Atmospheric,Laboratory subjects,"an atmospheric sealed-room anomaly, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
signal-born silhouette — Atmospheric,Analog horror,"an atmospheric signal-born silhouette, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
corner watcher — Atmospheric,Shadow figures,"an atmospheric corner watcher, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
flowering humanoid mutation — Atmospheric,Body horror,"an atmospheric flowering humanoid mutation, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed white owl — Atmospheric,Supernatural animals,"an atmospheric cursed white owl, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
crypt guardian — Atmospheric,Gothic creatures,"an atmospheric crypt guardian, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
winter ghost — Atmospheric,Ghosts,"an atmospheric winter ghost, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
field apparition — Atmospheric,Apparitions,"an atmospheric field apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
nocturnal vampire hunter — Atmospheric,Vampires,"an atmospheric nocturnal vampire hunter, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
feral lycanthrope — Atmospheric,Werewolves,"an atmospheric feral lycanthrope, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
forgotten tomb guardian — Atmospheric,Undead,"an atmospheric forgotten tomb guardian, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
nursery marionette — Atmospheric,Haunted dolls,"an atmospheric nursery marionette, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed grandfather clock — Atmospheric,Cursed objects,"an atmospheric cursed grandfather clock, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
antlered forest omen — Atmospheric,Occult entities,"an atmospheric antlered forest omen, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
deep-space leviathan — Atmospheric,Cosmic horror,"an atmospheric deep-space leviathan, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
marsh lantern beast — Atmospheric,Swamp monsters,"an atmospheric marsh lantern beast, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
subterranean moth creature — Atmospheric,Cave creatures,"an atmospheric subterranean moth creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
obsolete experiment — Atmospheric,Laboratory subjects,"an atmospheric obsolete experiment, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
station-ident creature — Atmospheric,Analog horror,"an atmospheric station-ident creature, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
elongated stairwell shadow — Atmospheric,Shadow figures,"an atmospheric elongated stairwell shadow, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
skinless anatomical apparition — Atmospheric,Body horror,"an atmospheric skinless anatomical apparition, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mist-covered wolf — Atmospheric,Supernatural animals,"an atmospheric mist-covered wolf, unsettling but non-graphic, clearly readable shape and restrained horror detail","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
gargoyle sentinel — Uncanny,Gothic creatures,"an uncanny gargoyle sentinel with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
lantern ghost — Uncanny,Ghosts,"an uncanny lantern ghost with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
corridor apparition — Uncanny,Apparitions,"an uncanny corridor apparition with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
aristocratic vampire — Uncanny,Vampires,"an uncanny aristocratic vampire with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
forest werewolf — Uncanny,Werewolves,"an uncanny forest werewolf with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
weathered revenant — Uncanny,Undead,"an uncanny weathered revenant with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
porcelain haunted doll — Uncanny,Haunted dolls,"an uncanny porcelain haunted doll with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed music box — Uncanny,Cursed objects,"an uncanny cursed music box with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ritual-circle entity — Uncanny,Occult entities,"an uncanny ritual-circle entity with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
impossible star creature — Uncanny,Cosmic horror,"an uncanny impossible star creature with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
moss-covered swamp monster — Uncanny,Swamp monsters,"an uncanny moss-covered swamp monster with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
blind cave crawler — Uncanny,Cave creatures,"an uncanny blind cave crawler with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
abandoned laboratory specimen — Uncanny,Laboratory subjects,"an uncanny abandoned laboratory specimen with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
broadcast interruption figure — Uncanny,Analog horror,"an uncanny broadcast interruption figure with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
doorway shadow figure — Uncanny,Shadow figures,"an uncanny doorway shadow figure with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
symmetrical flesh construct — Uncanny,Body horror,"an uncanny symmetrical flesh construct with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
ghostly black dog — Uncanny,Supernatural animals,"an uncanny ghostly black dog with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cathedral beast — Uncanny,Gothic creatures,"an uncanny cathedral beast with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mourning ghost — Uncanny,Ghosts,"an uncanny mourning ghost with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
mirror apparition — Uncanny,Apparitions,"an uncanny mirror apparition with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
wandering vampire — Uncanny,Vampires,"an uncanny wandering vampire with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
urban werewolf — Uncanny,Werewolves,"an uncanny urban werewolf with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
armoured skeleton — Uncanny,Undead,"an uncanny armoured skeleton with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cloth haunted doll — Uncanny,Haunted dolls,"an uncanny cloth haunted doll with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
cursed portrait — Uncanny,Cursed objects,"an uncanny cursed portrait with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
hooded omen — Uncanny,Occult entities,"an uncanny hooded omen with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
void-born observer — Uncanny,Cosmic horror,"an uncanny void-born observer with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
reed creature — Uncanny,Swamp monsters,"an uncanny reed creature with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
crystal cave predator — Uncanny,Cave creatures,"an uncanny crystal cave predator with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
containment-tank humanoid — Uncanny,Laboratory subjects,"an uncanny containment-tank humanoid with subtly wrong proportions, eerie texture and a memorable silhouette","wrong horror subject, duplicate subject, fused anatomy, malformed structure, unreadable identity, text, watermark"
